;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;
14471;21475;253619;3913980;253618;25106701;21.10.2015 3:27;А там ничего про качество этих углеводородов не сказано?;0;;ш4;1
14472;21476;253622;82853210;253618;25106701;21.10.2015 4:20;Хуже Российской нефти пока не нашли.Как не старались.Самая сернистая.;2;;Ч4;1
14473;21477;253626;275407907;253618;25106701;21.10.2015 5:16;[id82853210|Сергей], так у нас все самое худшее а нефть особенно.Не пойму,какой тебе смысл писать об этом постоянно?!;1;;Ц3, Ч3;3
14474;21478;253627;82853210;253618;25106701;21.10.2015 5:18;[id275407907|Артем], небо голубое!земля круглая!а нефть и президент у нас хреновые! Я что ль виноват?;1;;Ч4;3
14475;21479;253629;325734127;253618;25106701;21.10.2015 5:53;Сережа, ты зачем такой дурачок?<br>Содержание серы в российской нефти марки Urals составляет 1,3%. Содержание серы в нефти марки Basra Light, добываемой в Ираке, составляет 2,9%.<br>По комплексным показателям российская нефть, за исключением  Енисейско-Анабарского и Лено-Вилюйского ряда месторождений, признана высококачественной.;5;;Н3, Ж4;4
14476;21480;253630;82853210;253618;25106701;21.10.2015 5:55;[id325734127|Герасим], да%.Ты умник где это взял?;0;;Б3, Ц3;4
14477;21481;253631;82853210;253618;25106701;21.10.2015 5:57;[id325734127|Герасим], http://pics.rbc.ru/img/oranews/2004/10/1314124126.gif http://vk.com/photo-25106701_383806969;2;; -; - 
14478;21482;253632;325734127;253618;25106701;21.10.2015 6:01;[id82853210|Сергей], к примеру. http://vk.com/photo-25106701_383807026;1;; - ; - 
14479;21483;253633;82853210;253618;25106701;21.10.2015 6:03;[id325734127|Герасим], переведи! (с) Что это говорит то? Где написано,что это мало?;0;;А3;3
14480;21484;253634;325734127;253618;25106701;21.10.2015 6:12;[id82853210|Сергей], нигде не говорит, но это опровергает твои слова о том, что, мол, хуже российской нефти еще не нашли?? Старались, но не нашли??<br>А если тебя оскорбляет то, что российская нефть признана высококачественной, даже несмотря на твой тезис о самой сернистой нефти в мире, то предлагаю почитать об этом в интернете. Например, на сайте nge.ru или nefttrains.ru. Там всё есть.;4;;Б3, Р3;4
14481;21485;253635;82853210;253618;25106701;21.10.2015 6:21;[id325734127|Герасим], ля-ля-тополя.Оскорбленное чувство патриота.Ты что на меня и нефть то обижаешься,ты на вову обижайся,который эту нефть,какая есть,мимо нас проносит.Сначала качаем ее на Запад,получаем баксы,а потом Тимченко и Другие их опять в Западные банки везут!.;0;;Ц3, Щ4;4
14482;21486;253636;325734127;253618;25106701;21.10.2015 6:26;Сережа, ну что ты начинаешь???;0;;Ч3;4
14483;21487;253637;82853210;253618;25106701;21.10.2015 6:28;[id325734127|Герасим], а что я начинаю? Где деньги,Зин? говорю...;0;;Ф3;4
14484;21488;253638;14607655;253618;25106701;21.10.2015 6:28;[id82853210|Сергей], ко-ко;2;;Ш3;4
14485;21489;253639;82853210;253618;25106701;21.10.2015 6:31;[id325734127|Герасим], http://mtdata.ru/u9/photoE751/20471046204-0/huge.jpeg http://vk.com/photo-25106701_383807519;1;; - ; - 
