;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;
550;66170;196953;274669192;196951;25106701;12.05.2015 18:41;http://vk.com/audio2000006288_366710025;2;; - ; - 
551;66171;196954;200856281;196951;25106701;12.05.2015 18:56;Если бы не Путин, мы бы не испытывали такую гордость за Россию ! http://vk.com/photo-25106701_365008336;4;;Х4;1
552;66172;196956;19220498;196951;25106701;12.05.2015 19:07;[id200856281|Наталья], и такие проблемы тоже.;0;;Ч4;1
553;66173;196962;19220498;196951;25106701;12.05.2015 19:21;[id200856281|Наталья], вы наверное в Кремле живёте? Походите по улицам, поговорите с людьми, а ещё лучше совершите путешествие по провинции. Проблем в стране очень много и они копятся все эти 15 лет. За внешним блеском достижений поля зарастают бурьяном, заводы работают в полсилы, растёт безработица, сократились доходы бюджета, заморожена зарплата почти всех, кто работает на государство. Казнокрадство и безнаказанность достигли небывалых размеров. Сердюков стал свидетелем, Васильевой дали пять лет и это за миллиарды разворованных денег. И так далее, и тому подобное. Хотя бы газеты почитайте, если у вас нет связи с реальным миром.;3;;Ч3, Щ4;2
554;66174;196963;190650850;196951;25106701;12.05.2015 19:25;[id19220498|Андрей], Молодой человек! Вам должно понравиться на Украине! Вот там достижения - зашкаливают.;3;;Ц3;4
555;66175;196965;80013865;196951;25106701;12.05.2015 19:32;Парад нужно проводить так , чтобы мир вздрогнул .;1;;С3,С4;1
556;66176;196966;26471854;196951;25106701;12.05.2015 19:32;[id19220498|Андрей], Безработица даже в кризисной России ниже чем в некоторых странах Западной Европы. Доходы бюджета сократились по сравнению с бумом цен на нефть. Это должно было рано и поздно закончиться. А в общем стоит сравнивать период до Путина и сейчас.;2;;П3,Ч4 ;2
557;66177;197146;19220498;196951;25106701;12.05.2015 22:57;[id26471854|Марсель], а почему бюджет такой огромной страны как Россия сильно зависит от нефти? Может быть потому что особо и продавать больше нечего на мировом рынке? Мы, простите, почему компьютеры в Сингапуре закупаем, у нас что своих ученых нет? Есть. Только управление в стране такое, что производство как-то не сильно развивается. Вот и автомобили за 15 лет не очень улучшили своё качество по сравнению с иномарками. В стране есть успехи, но власть продолжает допускать крупные ошибки и это отражается на всех.;1;;Ж3, Ч4;2
558;66178;197165;19220498;196951;25106701;12.05.2015 23:12;[id190650850|Татьяна], и у нас хватает своих достижений. У нас Газпром — национальное достояние. Компания, которая выкачивает природные ресурсы и продаёт их направо и налево. А почему не автопром? Не авиапром или металлургия? Почему в Израиле, где кругом пустыня коровы дают больше молока, чем у нас? Вы сравните нашу страну с лидерами, а не с теми, где война идёт. Давайте сравним с Сингапуром, где практически нулевой уровень коррупции, а у нас слово  откат  стало бытовым. Любить свою страну — не значит кричать  Ура!  по любому поводу. Любить — значит стараться сделать Родину лучше, а для этого надо выявить недостатки и бороться с ними. Об успехах показывает первый канал, только вот недостатков столько, что президент получил 3 миллиона вопросов не так давно. Что это значит? У людей нет надежды на местную власть, все звонят Путину. Это значит, что система управления в стране расстроена и проблемы, грубо говоря, реально решает только президент. То есть миллионы проблем он просто решить не успевает и они копятся как снежный ком.;2;;Ч4, Ж3;3
559;66179;197167;26471854;196951;25106701;12.05.2015 23:13;[id19220498|Андрей], Потому что доход от продажи нефти был гораздо выше чем от компьютеров при таких ценах. Все понимали, такие цены не вечны и  рубили бабло  до последнего, копили  подушку безопасности . Все же озвучено уже давно. Что, как и зачем. Путин сам говорил, что кардинальные реформы могли вообще ни к чему не привести, положительному, а только к потере денег. Рост курса рубля наглядно показал, что Россия это не только нефть и газ.;0;;И4;2
