;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;
610;72065;188785;82853210;188784;25106701;22.04.2015 5:25;Завязвайте с наркотой.Объединение на почве религии в 21-и веке !!! Эк вас торкнуло !;10;;Н2;1
611;72066;188786;171830512;188784;25106701;22.04.2015 5:26;[id82853210|Сергей], что в этом плохого?;2;;А3;1
612;72067;188787;82853210;188784;25106701;22.04.2015 5:27;[id171830512|Бронислав], еще можно по общности набедренной повязки объеденится...Или по форме каменного топора.Вперед.Мешать не стану...;2;;Ц3;1
613;72068;188788;171830512;188784;25106701;22.04.2015 5:28;[id82853210|Сергей], вообще-то благодаря христианству существует вся современная белая цивилизация );3;;П3;2
614;72069;188789;82853210;188784;25106701;22.04.2015 5:28;[id171830512|Бронислав], там и Адам с Евой померли и живем..?;0;;Ц3;3
615;72070;188790;222850050;188784;25106701;22.04.2015 5:29;[id171830512|Bronislav], а еще благодаря набедренным повязкам. Без них наши дикие предки замерзли бы.;0;;Ц3;4
616;72071;188791;171830512;188784;25106701;22.04.2015 5:29;[id222850050|Лев], мм, отеизды;0;;Ц3;3
617;72072;188792;82853210;188784;25106701;22.04.2015 5:30;[id171830512|Бронислав], Время разбрасывать камни и Время собирать камни. (с) Религия осталась в Средних веках...;1;;П3;1
618;72073;188793;82853210;188784;25106701;22.04.2015 5:33;В России религию за уши тащат в 21-й век,потому что Церковь стала прислужницей Власти.;7;;И4;1
619;72074;188794;222850050;188784;25106701;22.04.2015 5:40;Православная империя из половины восточной Европы. Пожелал бы автору этой невероятной ахинеи скорейшего выхода из алкогольного угара.;5;;Н2;1
620;72075;188795;1160899;188784;25106701;22.04.2015 5:52;А вот и страдающие бессонницей диванные комментаторы собрались ??????;1;;Щ3;4
621;72076;188796;254236284;188784;25106701;22.04.2015 5:56;Бред.;0;;Н2;1
622;72077;188798;225506455;188784;25106701;22.04.2015 5:59;Не одной успешной страны,долги-раздрай,нету ни одного морального авторитета,народ в основной массе живет в этих странах так себе,а церкви утопают в злате..., я так думаю.;0;;Т4;2
623;72078;188800;56370101;188784;25106701;22.04.2015 6:07;[id225506455|Саша], в Греции минимальная пенсия - 400 евро , про Кипр я вообще молчу , с какого перепуга они будут к РФ присоединиться ????...... Это мог написать только дремучий , ни разу не выезжавший за границу своего села человек .;1;;Ч4, Н2;2
624;72079;188801;16499396;188784;25106701;22.04.2015 6:13;Да создавать империю в данный момент ,еще и на религиозных ценностях ,нереально ,да и ужасно затратно . Надо свою экономику сначала впорядок привести ,а посадить себе на шею пол Европы всегда успеется ??;2;;И4, Б2;1
625;72080;188802;225506455;188784;25106701;22.04.2015 6:14;[id56370101|Лариса], я ни одного слова не сказал о присоединении к России,а за счет чего и кого живут греки все знают,даже я -дремучий колхозник(из колхоза 40 ЛЕТ БЕЗ УРОЖАЯ .....,я так думаю.;1;;К3;2
626;72081;188803;16499396;188784;25106701;22.04.2015 6:18;Лариса, Греция в долгах как  в  шелках ,перед МВФ ,по всему её ждёт унизительная приватизация гос.имущества .;1;;У4;2
627;72082;188804;82853210;188784;25106701;22.04.2015 6:27;http://www.avtovzglyad.ru/obshestvo/socium/2015-04-21-pjanye-popy-vrezalis-v-passazhirskij-avtobus/;0;; - ; -
628;72083;188806;16499396;188784;25106701;22.04.2015 6:34;[id82853210|Сергей], пьяные атеисты не врезаются в автобусы ?;5;;А3;4
629;72084;188807;82853210;188784;25106701;22.04.2015 6:35;[id16499396|Petr], я о этом не говорил.Сказал о том,ч то из них моральный авторитет,как из дерьма пуля.;1;;Ф3, Н4;4
630;72085;188808;171830512;188784;25106701;22.04.2015 6:44;Чертяги религию, как огня боятся :33;1;;Ш4 ;1
631;72086;188809;151314288;188784;25106701;22.04.2015 6:50;У.Каммингс.В окопах нет атеистов http://vk.com/photo-25106701_362760682;4;;П4;2
632;72087;188810;82853210;188784;25106701;22.04.2015 6:58;Атеистов может и нет ...Но РПЦ к этому каким боком ??? Удостоверения от гипотетического Создателя они так и не предъявили...;1;;Т4;2
633;72088;188813;171830512;188784;25106701;22.04.2015 7:07;[id13843787|Владимир], ну большинству интернет нужен, чтобы порнуху посмотреть;0;;Ш3;4
634;72089;188814;200856281;188784;25106701;22.04.2015 7:07;Поздравляю всех с Великим Праздником !<br>С Денём рождения дедушки Ленина !!! <br><br>И вновь продолжается бой.<br>И сердцу тревожно в груди...<br>И Ленин - такой молодой,<br>И юный Октябрь впереди! http://vk.com/photo-25106701_362761005;3;;Ц4;4
635;72090;188816;16499396;188784;25106701;22.04.2015 7:12;Владимир, Церковь боролась с магией ,а не с наукой .;0;;Б3;3
636;72091;188818;16499396;188784;25106701;22.04.2015 7:19;[id13843787|Владимир], может конечно это и смешно ,но Бруно сожгли как раз за магизм .;0;;И4;4
637;72092;188820;16499396;188784;25106701;22.04.2015 7:24;[id13843787|Владимир], тогда ведь не было четкой границы между наукой и магией ,получались такие ошибки . Но я не оправдываю инквизицию ,это дикий перебор .;0;;Е1;4
638;72093;188821;16422772;188784;25106701;22.04.2015 7:24;Джордано Бруно сам представлялся магистром белой магии и его не взяли на кафедру английского университета по той причине что он не смог сдать тест на знание науки того времени;1;;Ш4;4
639;72094;188822;16422772;188784;25106701;22.04.2015 7:28;Книгу Галилея напечатали за 3 месяца до его смерти.<br>А увидел он ее на смертном одре, а папа римский был ознакомлен с ней уже гораздо поздней.;1;;И4;4
640;72095;188824;1144995;188784;25106701;22.04.2015 7:31;[id82853210|Сергей], если не пытаться, то в султанат об'еденимся дат через 30;0;;У3;2
641;72096;188825;82853210;188784;25106701;22.04.2015 7:32;[id1144995|Филипп], я думаю это произойдет без нас. Скрипач не нужен.  (с) Кин-Дза Дза.;0;;Ц3;1
