;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;
1615;78718;181117;155739078;181116;25106701;02.04.2015 7:46;Полная шняга;2;;Ч2;1
1616;78719;181119;253822334;181116;25106701;02.04.2015 7:46;http://vk.com/photo-25106701_358394263;0;; - ; - 
1617;78720;181120;223525746;181116;25106701;02.04.2015 7:48;Мда;0;;Ч2;1
1618;78721;181121;91267921;181116;25106701;02.04.2015 7:48;А пачки то фальшивые , род одним номером , такие по 100 рублей пачка продают;0;;Ш4;3
1619;78722;181122;174715495;181116;25106701;02.04.2015 7:48;Сидят такие за океаном и прогнозируют нашу экономику, клоуны ??;14;;Ц2;1
1620;78723;181123;979963;181116;25106701;02.04.2015 7:49;Базовый сценарий...;0;;И4;1
1621;78724;181126;7461421;181116;25106701;02.04.2015 7:56;Даже сценарий написали, молодцы какие??;4;;Ц4;1
1622;78725;181128;193970603;181116;25106701;02.04.2015 8:00;Их зависть душит.;4;;И4;1
1623;78726;181131;33213646;181116;25106701;02.04.2015 8:04;продолжительно-стабильной экономики никогда и не было, а политически и идеологически мы пока крепки)));5;;Ш4;1
1624;78727;181132;66889751;181116;25106701;02.04.2015 8:05;[id193970603|Константин], конечно, где им до нас http://vk.com/photo-25106701_358394689;4;;Ц3;1
1625;78728;181133;167834679;181116;25106701;02.04.2015 8:06;Что-то они не упоминают, как повлияют события в Йемене на цену на нефть.;0;;Ж4;1
1626;78729;181135;4626275;181116;25106701;02.04.2015 8:11;Нам это нипочем! Сократят зарплаты? Потерпим! Цены на еду ещё больше подорожают? Поясок значит потуже завяжем, дошираки кушать будем но продержимся! Путин наш царь! Крым наш!;7;;Ц4;1
1627;78730;181138;45368917;181116;25106701;02.04.2015 8:20;? http://vk.com/photo45368917_356543018;7;; - ; - 
1628;78731;181139;206551750;181116;25106701;02.04.2015 8:21;[id4626275|Константин], ты бы за всех не говорил бы. Хочешь жрать  Доширак  ,в добрый путь!;1;;Ч3;4
1629;78732;181143;34160540;181116;25106701;02.04.2015 8:29;Всемирный банк выходит на остановке, все остальные БРИКС, азиатский банк и иже с ними едут дальше.;7;;Ц4;1
1630;78733;181144;206551750;181116;25106701;02.04.2015 8:35;http://vk.com/photo-25106701_358395481;9;; - ; - 
1631;78734;181145;25839514;181116;25106701;02.04.2015 8:38;Пошли они в жопку. Не дадим мы им наши богатства. Не дожмут они нас. Итак СССР развалили америкосы. Хватит.;6;;Г4, Т4;1
1632;78735;181146;4537534;181116;25106701;02.04.2015 8:41;[id91267921|Юрий], первые цифры - разные.;0;;Б3;3
1633;78736;181153;73638241;181116;25106701;02.04.2015 9:15;Вот пусть попьют и перестанут наши деньги считать http://vk.com/photo-25106701_358396874;1;;Р4;3
1634;78737;181155;26426465;181116;25106701;02.04.2015 9:28;мои ответ пошли нах!!!!;0;;Г4 ;2
