;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;Unnamed: 9
1575;2155;85487;514431;85485;32803139;2015-10-12 23:22:18;Это очень интересно про вероятности.<br>А можно так  рисовать , чтобы правдоподобные числа получались?;0;А2;1
1576;2156;85488;6099;85485;32803139;2015-10-12 23:30:25;[id514431|Дмитрий], Да, конечно можно. Но это а) нужно делать централизованно б) очевидно никому не нужно.;1;И4;2
1577;2157;85490;338090;85485;32803139;2015-10-12 23:48:57;Господа, вы недооцентваете влияние идеологии.;0;П3;4
1578;2158;85491;1169819;85485;32803139;2015-10-12 23:52:10;[id514431|Дмитрий], я думаю это сопряжено с большими проблемами. Как правильно заметил другой Дмитрий :), рисовать надо централизовано, т.е. фактически полностью держать в руках результаты, получаемые на местах. Это значит либо искажать результаты после окончания выборов на территориальном уровне (что может вызвать большой резонанс при достаточном количестве наблюдателей), либо заниматься специфической подгонкой на местах, что требует большого количества хоть немного, но обученных кадров. Последнее мне кажется совершенно нереальным.;0;И4;2
1579;2159;85492;1169819;85485;32803139;2015-10-12 23:54:43;[id338090|Ольга], будь хоть сто раз идеология, но на распределение цифр после запятой, при честном подсчете голосов, она влиять не должна :);4;Щ4;3
1580;2160;85493;514431;85485;32803139;2015-10-12 23:54:48;[id1169819|Лев], думаю, все проще, чем кажется);0;У3;4
1581;2161;85494;1169819;85485;32803139;2015-10-12 23:56:30;[id514431|Дмитрий], предложите способ, как сделать так, чтобы с участковых комиссий поставляли нормально распределенные данные :);1;Р3;3
1582;2162;85495;338090;85485;32803139;2015-10-12 23:57:07;[id1169819|Лев], тоесть я правильно поняла, вы оспариваете победу Лукашенко и третье место кандидата   против всех ;0;Щ3;3
1583;2163;85496;1169819;85485;32803139;2015-10-12 23:58:37;[id338090|Ольга], нет неправильно вы понимаете. Я утверждаю лишь, что с очень высокой вероятностью, не было честного подсчета голосов избирателей, пришедших на выборы.;4;Ф3;3
1584;2164;85497;338090;85485;32803139;2015-10-13 00:00:41;[id1169819|Лев], тогда ещё один вопрос, на общие результаты выборов это повлияло и если да, то с каким результатом?;0;А3;3
1585;2165;85498;514431;85485;32803139;2015-10-13 00:06:32;[id1169819|Лев], в каком смысле  нормально ?))<br>тогда метод оценки честности потеряет смысл((;0;А3;3
1586;2166;85499;1169819;85485;32803139;2015-10-13 00:06:46;[id338090|Ольга], вопрос некорректен. Мне кажется, что то, что власть не может организовать честный подсчет голосов своих граждан, само по себе значит довольно много для понимания сути этой власти и ситуации с выборами в стране.<br><br>Т.е. это значит, что зачищено политическое поле, некому конкурировать, некому даже всерьез возмутиться фальсификациями. Выборы - это несколько иное.;4;Ч3;3
1587;2167;85500;1169819;85485;32803139;2015-10-13 00:08:22;[id514431|Дмитрий], ну так я пытался ответить на ваш вопрос относительно того, реально ли  рисовать  так, чтобы получались данные, выглядящие естественно.;0;Ф3;3
1588;2168;85501;338090;85485;32803139;2015-10-13 00:10:32;[id1169819|Лев], мне кажется, что вы просто не хотете отвечать на вопрос , насколько существенна ошибка в подсчете , не уходит из математического поля;0;Щ3;4
1589;2169;85502;1169819;85485;32803139;2015-10-13 00:20:42;[id338090|Ольга], представим, что кто-то сдал анализ крови, а потом результаты ему выдали такие, что напротив каждого показателя стоит - НОРМА. (Просто прибор сломался и другого не печатает). Человек понял, что прибор сломался, но думает, что наверное результат недалек от истины - у него наверное почти всюду НОРМА и есть. 1) Насколько существенно, что человек получил не реальное измерение, а то, что ему изобразил сломанный прибор? 2) Зачем он ходил сдавать кровь? 3) Зачем неверные результаты выдает лаборатория, хотя и знает о сломанном приборе?;4;Ж3;3
1590;2170;85503;338090;85485;32803139;2015-10-13 00:22:27;[id1169819|Лев], а если просто в стране такая политика, что у большинства людей действительно нет проблем с анализами крови???;0;Щ4;3
1591;2171;85504;1169819;85485;32803139;2015-10-13 00:23:26;[id338090|Ольга], а как можно быть в этом уверенным, если прибор для измерения сломан? :);6;Ш3;3
