;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;;
5002;32450;240294;230732083;240293;25106701;01.09.2015 10:56;Эм о чём это они?<br>Демократия для нас отрицательный резус спасибо США что использовали демократию как идеологическое оружие .<br>Свободы и так дофига вот какую то шваль чиновьничью прихлопнуть нельзя.;6;;;ч2;1
5003;32451;240295;15319616;240293;25106701;01.09.2015 10:56;Демократии нет и не будет ни в какой стране мира!;7;;;И4;1
5004;32452;240297;35293624;240293;25106701;01.09.2015 11:00;Мысль об империи согревает россиян холодными зимними ночами и дарит ощущение прохлады в жаркие летние дни, с этой мыслью россияне засыпают и просыпаются, только эта мысль удерживает миллионы россиян от самоубийства, заставляет работать, учиться, кушать и дышать. Отнимите у россиян мысль об империи - и Россия исчезнет, как будто и не было. Сегодня я уже пять раз думал об империи, и каждый раз моя душа ликовала.;14;;;Ц4;0
5005;32453;240298;1310846;240293;25106701;01.09.2015 11:01; A шо вы имеете ввиду ? *;0;;;А3;2
5006;32454;240299;223034241;240293;25106701;01.09.2015 11:01;[id35293624|Роман], я думал, я один такой;4;;;Е1, Х3;3
5007;32455;240300;17287035;240293;25106701;01.09.2015 11:01;С помощью США и их вассалов в Европейском союзе демократия полностью себя дескредитировала,а свобода слова и права человека превратились в иллюзии даже в самих странах запада. Нужно России как можно скорее избавляться от этого паразитизма и демократии модели начала 90-ых;2;;;ж4,с3;1
5008;32456;240302;17287035;240293;25106701;01.09.2015 11:03;[id35293624|Роман], вы за себя отвечайте,а не за Россию. Лично среди моих знакомых нет не одного человека кто страдал был какими то имперскими замашками. Сейчас,глядя на западные тенденции у народа больше желание сохранить свою страну,свою культуру и свой народ как таковые,не более того;4;;;Б3, Ж3;2
5009;32457;240304;223034241;240293;25106701;01.09.2015 11:06;[id74361354|Владимир], а что у них не так там, в Европе, то ?;0;;;А3;3
5010;32458;240305;223034241;240293;25106701;01.09.2015 11:07;[id17287035|Денис], туго с ЧЮ у политиканов комнатных) http://vk.com/audio2000236888_394779718;1;;;Ц3;4
5011;32459;240307;35293624;240293;25106701;01.09.2015 11:09;[id17287035|Денис], я иронизировал ) среди моих знакомых империалистов тоже не наблюдается );2;;;К3;4
5012;32460;240308;301395254;240293;25106701;01.09.2015 11:11;Очередной пизд..ж.;0;;;Т2;1
5013;32461;240309;301050906;240293;25106701;01.09.2015 11:11;Столетие жидофашизма в России обернулось для России жопой сатанизма иудаизма в форме бандитизма в замен обещанного рыночного капитализма. http://vk.com/photo-25106701_377483081;1;;;Ж4;2
5014;32462;240312;300797490;240293;25106701;01.09.2015 11:13;Демократия иллюзия придуманная сатаной, Закон Божий есть истинна.;0;;;Ц4;2
5015;32463;240315;230732083;240293;25106701;01.09.2015 11:16;А китаяфобов?;0;;;А4;4
5016;32464;240317;230732083;240293;25106701;01.09.2015 11:17;Ну бро не богохульствуй вера давным давно не имет силу и закон об этом давно у гас принят ещё на Руси.;0;;;П3;4
5017;32465;240318;78133583;240293;25106701;01.09.2015 11:19;В России, как раз демократии больше, чем в этих странах. Поэтому они и завидуют. В царской России В.И. Ленин, отправляясь в ссылку в Сибирь, захватил с собой рояль! И.В. Джугашвили, он же Сталин, отбывал ссылку в Вологде. Там сохранился дом в котором он жил. Приличный такой дом в центре города!;1;;;Ж4;2
5018;32466;240319;1310846;240293;25106701;01.09.2015 11:20;Шарль Уржевич (Charles Urjewicz);1;;;Ш2;3
5019;32467;240321;2732653;240293;25106701;01.09.2015 11:21;Всё правильно написано.<br>Коммунизм кончился так и не наступив, демократии нет (будет ли?), национальной идеи нет. Её заменяет религия, вождь и имперские замашки.;1;;;Х2, И4;0
5020;32468;240322;7080144;240293;25106701;01.09.2015 11:21;Как показывает история страна лучше всего развивается при диктатуре. Сталина верните суки;0;;;ж4,с3;1
5021;32469;240323;300797490;240293;25106701;01.09.2015 11:23;[id230732083|Максим], Выше мирского закона любовь, а Бог это любовь!;0;;;П3;4
5022;32470;240324;139685782;240293;25106701;01.09.2015 11:24;Судя даже по этой писанине -    истерия или даже фобия некой  российской агрессии   не только плодится  в Европе, но и всячески раздувается,  а желание насадить везде свою  демократию- и вовсе  смахивает на настойчивость маньяка.??;1;;;Ж4;2
5023;32471;240325;181102575;240293;25106701;01.09.2015 11:25;Истерия Путина? Это они о чём? Пока что наблюдается их истерия вокруг нашего президента и желание столкнуть нас в эпоху 90-х.;0;;;ч2;0
5024;32472;240326;230732083;240293;25106701;01.09.2015 11:28;;0;;; - ; - 
5025;32473;240327;230732083;240293;25106701;01.09.2015 11:28;Эм и где же бог и любовь?;0;;;Ц4;4
5026;32474;240328;5748237;240293;25106701;01.09.2015 11:29;Вспоминаю свой школьную тетрадь по истории, где мы расписывали в два столбика плюсы и минусы правления Ивана Грозного. Первым плюсом стояло: увеличил территорию страны в 35 раз. Я еще тогда так удивился: разве ж это плюс? Это же огромный минус! У людей теряется всякая возможность вести диалог с властью, потому как страна огромная, а все решения теперь принимаются в Москве. С тех пор прошло 500 лет, империя накрепко засела в головах людей, но уже с начала 1990х демократические тенденции набирают силу. И это радует.;1;;;Е1, Ж4;2
5027;32475;240329;301050906;240293;25106701;01.09.2015 11:30;[id7080144|Маханнат], суки его не вернут, на то они и суки. А кто изобрел колесо, тот изобрел и автомат калашникова, кто создаст голографический компьютер, тот и сможет подключить его к космическому интернету и общаться со всеми человечествами на миллиардах заселенных планетах.;0;;;Л4, И4;4
5028;32476;240330;300797490;240293;25106701;01.09.2015 11:33;[id230732083|Максим], Сложно объяснить в двух словах, вот например ты живешь: дышишь, ешь, видишь красоту природы, радуешься рождению твоих детей, любимой жене- это любовь. Думаешь это просто так, даром, тогда ты глубоко ошибаешься. А не любовь ты и так знаешь.;0;;;П3;4
5029;32477;240334;230732083;240293;25106701;01.09.2015 11:57;Тошда бог тут причём ему как видтщь наплевать .;0;;;Б3 ;4
5030;32478;240335;278315067;240293;25106701;01.09.2015 11:58;Плевали мы на вашу демократию  товарищи  с запада,плевали всегда и будем плевать.У нас своя правда и своё всё .....и культура ,и традиции,и история,и так далее..;0;;;Г4;2
5031;32479;240337;300797490;240293;25106701;01.09.2015 12:01;[id230732083|Максим], Как может отец ответить на просьбу сына дай мне хлеба а он даст ему камень, так и Бог любит детей своих. Как отец может дать ремня своему сыну, так и Бог сынам не верным.;0;;;П3;4
5032;32480;240338;193444768;240293;25106701;01.09.2015 12:02;В Ираке, Афгане, Ливии и тем более на Украине офигительнейшая  демократия . Гражданские чувства, национальное самосознание так и плещет.<br>Какую только фигню не придумают );2;;;Ш4;3
5033;32481;240339;230732083;240293;25106701;01.09.2015 12:03;Хуйню несёшь.;0;;;л3;4
5034;32482;240340;230732083;240293;25106701;01.09.2015 12:03;Хуйню несёшь.;0;;;л3;4
5035;32483;240341;300797490;240293;25106701;01.09.2015 12:04;[id230732083|Максим], вам хватает воспитания отвечать уважительно к собеседнику?;0;;;П3;4
5036;32484;240342;230732083;240293;25106701;01.09.2015 12:05;Ты у нас кто гражданин?;0;;;А3;4
5037;32485;240343;300797490;240293;25106701;01.09.2015 12:05;[id230732083|Максим], Человек.;0;;;Е1;4
5038;32486;240347;230732083;240293;25106701;01.09.2015 12:13;Нет твой соц и капитал статус?;0;;;А3;4
5039;32487;240348;300797490;240293;25106701;01.09.2015 12:14;[id230732083|Максим], Не в капиталстатусе дело а в душах человеческих.;0;;;П3;4
5040;32488;240349;230732083;240293;25106701;01.09.2015 12:15;Ответь просто душенька моя.;0;;;А3;4
5041;32489;240350;300797490;240293;25106701;01.09.2015 12:17;[id230732083|Максим], На все воля Божья, человек без Бога нечто!;0;;;П3;4
5042;32490;240351;230732083;240293;25106701;01.09.2015 12:18;Ответь просто и ясно.;0;;;А3;4
5043;32491;240352;300797490;240293;25106701;01.09.2015 12:18;[id230732083|Максим], На что?;0;;;А3;4
5044;32492;240353;230732083;240293;25106701;01.09.2015 12:19;Ваш соц и капитал статус?;0;;;А3;4
5045;32493;240355;300797490;240293;25106701;01.09.2015 12:21;[id230732083|Максим], Я нищий инженер получаю 30ку и кормлю две семьи, вы довольны? А еще самое главное у меня есть вера.;1;;;Е1;4
5046;32494;240356;230732083;240293;25106701;01.09.2015 12:22;Эм инжинер какой направлености?;0;;;А3;4
5047;32495;240357;56358455;240293;25106701;01.09.2015 12:22; россияне цепляются за мысль об империи, как за спасательный круг  идиоты, Россия будет или империей или вообще не будет.;2;;;Л2, И4;1
5048;32496;240358;300797490;240293;25106701;01.09.2015 12:26;[id230732083|Максим], ЧЕМ же позвольте узнать?;0;;;А3;4
5049;32497;240359;300797490;240293;25106701;01.09.2015 12:27;[id56358455|Ибрагим], Так и есть.;0;;;В3;4
5050;32498;240361;230732083;240293;25106701;01.09.2015 12:30;Какой направлености вы инжинер?;0;;;А3;4
5051;32499;240362;215164903;240293;25106701;01.09.2015 12:31;[id56358455|Ибрагим], для России возможен ещё один вариант- автаркия, закрыться от остального мира и жить отдельно. Ну а если оставлять взаимоотношения с отстальным миром, то тогда возможен только имперский путь, это правда.;0;;;Ж4;2
5052;32500;240363;300797490;240293;25106701;01.09.2015 12:32;Россия или не Россия вам безразлично где жить где умирать, одна есть исполненная сила вера в Бога у вас нам ее не отнять.;1;;;Ж4;4
5053;32501;240364;300797490;240293;25106701;01.09.2015 12:33;[id215164903|Иван], В современном мире не реально, быстро скушают.;0;;;И4;4
5054;32502;240365;56358455;240293;25106701;01.09.2015 12:34;[id215164903|Иван], Россия никогда не закрывалась по собственной воле. но Россия отлично проживет и одна.;1;;;И4;3
5055;32503;240366;215164903;240293;25106701;01.09.2015 12:34;[id300797490|Евгений], для России как раз реально - у нас есть русурсы и атомное оружие, вполне достаточно для автаркии. Если кто попробует полезть к нам через забор огреем ядерной дубинкой.;0;;;Ж3;3
5056;32504;240367;215164903;240293;25106701;01.09.2015 12:35;[id56358455|Ибрагим], Россия никогда не закрывалась - это верно. Но возможно в этом и ошибка. Большинство остальных стран не могут закрыться, потому что у них ресурсов для этого нет. А у России есть всё, и мы делимся с окружающими странами.;0;;;Ж3;3
5057;32505;240368;300797490;240293;25106701;01.09.2015 12:37;[id215164903|Иван], Мало населения 150мил. это не что в глобальном мире, только если поддержат соседние республики и будет милл. 200-300 возможно. Мир глобален нынче не каменный век и не феодализм.;0;;;Ж3;2
5058;32506;240369;215164903;240293;25106701;01.09.2015 12:39;[id300797490|Евгений], Нам то что до этого глобального мира? А мало для чего людей? По подсчётом экономистов, для производства товаров необходимых для всего населения земли при использовании самого современного оборудования необходимо всего 500 млн человек. Нам же нужно обеспечить лишь 150 млн. Ну и с/х ещё.;1;;;Ж3;4
5059;32507;240371;300797490;240293;25106701;01.09.2015 12:41;[id215164903|Иван], Нам прежде всего нужно завоевать уважение и состоятельность у других народов, тогда закрываться будет НЕ нужно, мы будим в середине ядра.;0;;;Ж3;4
5060;32508;240376;215164903;240293;25106701;01.09.2015 12:45;[id300797490|Евгений], Ну это один из путей - имперский. Но этот путь тоже далеко нелёгкий, мы будем постоянно сталкиваться с соперничеством других держав - политическим, экономическим. идеологическим, культурным. С другой стороны и к автаркии нужно подходить продуманн - тут нужна и справедливая социальная система и методы для поддержания научного и технического развития, но зато мы не будем зависеть и подвергаться давлению со стороны других стран. Но конечно у автаркии сейчас мало сторонников, больше всё же сторонников у имперского пути.;0;;;Ж3;3
5061;32509;240377;300797490;240293;25106701;01.09.2015 12:46;[id215164903|Иван], Я думаю Путин выбрал средний, уравновешенный.;0;;;Ж3;2
5062;32510;240378;215164903;240293;25106701;01.09.2015 12:47;[id300797490|Евгений], не знаю, я теряюсь в догадках что там Путин выбрал, он вобще непоследователен.;0;;;Н4;1
5063;32511;240379;300045997;240293;25106701;01.09.2015 12:49;Евгений Приймак.  нужно завоевать уважение и состоятельность у других народов  - глупая фраза. Нах уважение от тех кто изначала агрессивно русофобствует. И пох на тех кто что-то там бормочет себе под нос. Вся эта шваль всего-лишь мелкие уродливые карлики - гнойники на теле человечества. КТО НЕ С РОССИЕЙ - тот враг.;0;;;Н3, Л4, Т4;4
5064;32512;240381;300797490;240293;25106701;01.09.2015 12:51;[id215164903|Иван], Вы его советник чтобы так говорить? Владеете ситуацией в мире? Мы не имеем возможности судить человека, который 15 лет у власти и поднял весь мир на  уши .;0;;;Ч3, Х4;4
5065;32513;240383;300797490;240293;25106701;01.09.2015 12:52;[id300045997|Александр], Чушь собачья, каждый народ имеет уважение и желает лучшего.;0;;;Ж4;4
5066;32514;240385;300045997;240293;25106701;01.09.2015 12:56;[id300797490|Евгений], Если вы не видите русофобства - например от всяких байденов, меркелей, оландов, поляцких деятелей, английских - то это Ваше право. Я про народ не говорил. Народы везде одинаковые. поезжайте в любую страну и спокойно живите - нах вы там никому не нужны, и никто не обращает внимание на национальность другого человека. Ведите себя прилично, не оскорбляйте людей и к вам будут так же относиться.;0;;;Ж3;4
5067;32515;240386;215164903;240293;25106701;01.09.2015 12:57;[id300797490|Евгений], ну в том и дело, что я не приближённый путина, и не могу знать какие у него цели и есть ли у него они вобще. Думаю Путин лишь реаигирует на ситуацию, не имея своих чётких планов. Он начал как прозапданый политик, стремился всё с ними контакты наладить. Теперь, когда Запад показал что не намерен мириться с Россией, Путин переметнулся на Восток. В ближнем зарубедье тоже непонятная политика. Путин как раз никогда не пытался завоевать влияние там, или его попытки были слабыми. Взять Украину, у нас там не было никогда пророссийских политиков. Был Янукович. который был неэффективным руководителем и лишь позиционировал себя как пророссийского политика, в действительности он им никогда не был. А Запад вырастил там целую свору прикормленных политиков на которых теперь опирается. И в результате захватил в свои руки страну, которая непосредственно граничит с нами. Ну и другие примеры непоследовательности и нерешительности Путина можно приводить.;0;;;Е1, Ж4;3
