;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;;
1975;40602;230557;278315067;230556;25106701;11.08.2015 11:47;Ерунду говорят.Православные не довольны))Уважение к хлебу на Руси спокон веку ,а не с 20-х годов прошлого века)))Сказано нам вашего не надо,значит не надо,жрите сами.А те кто пытается провезти эту жрачку надо просто вешать.;11;;;Б2, С4;0
1976;40603;230558;23791;230556;25106701;11.08.2015 11:48;Пше-пше-пше http://vk.com/photo-25106701_375095329;4;;;ц2;0
1977;40604;230559;151012193;230556;25106701;11.08.2015 11:48;Голод был не только в 20-х, всегда было голодно вплоть до 50-х.;0;;;Ж4;1
1978;40605;230560;9511140;230556;25106701;11.08.2015 11:48;А им-то какое дело до нас? Или хотят, что бы мы санкции в одностороннем порядке отменили или хотя бы разрешили масштабную контрабанду?Где их логика?;4;;;н4;1
1979;40606;230562;216225599;230556;25106701;11.08.2015 11:50;Сколько сил и денег затрачено на уничтожение, вместо того, чтобы наладить контроль и качественные ( на уровне продающих в супермаркетах!) продукты раздать в дома престарелых или нищенствующим.;9;;;П4;1
1980;40607;230563;66178253;230556;25106701;11.08.2015 11:51;[id216225599|Валентина], сколько сил и денег надо затратить чтобы наладить контроль и раздать в дома для престарелых.;3;;;Ж4;1
1981;40608;230564;36798492;230556;25106701;11.08.2015 11:51;Это контрабанда,единственный путь ее - уничтожение. Хоть сыр,хоть героин! Однако робингудов в рф больше чем достаточно,в силу своего слабоумия решивших все за таможню...;10;;;ч4;2
1982;40609;230565;637935;230556;25106701;11.08.2015 11:52;Причем всё это преподносится так, что мы давим уже оплаченный нами товар.<br>Мы давим товар контрабандистов.;13;;;Ж4;1
1983;40610;230566;308602733;230556;25106701;11.08.2015 11:53;Тот кто приказал уничтожить продукты - конченный идиот;3;;;Ч4;0
1984;40611;230567;16499396;230556;25106701;11.08.2015 11:53;Уничтожать продукты- это ужасная глупость ,при всём уважении к Путину . Можно например в Донецк отправить ..да много вариантов ..;1;;;Ч4;0
1985;40612;230568;308602733;230556;25106701;11.08.2015 11:54;[id36798492|Артём], героин у нас не уничтожают;1;;;ц4;3
1986;40613;230569;637935;230556;25106701;11.08.2015 11:54;[id216225599|Валентина], бульдозер на полчаса - это не дорого.;1;;;Ц3;3
1987;40614;230570;307084960;230556;25106701;11.08.2015 11:55;Че за люди вы такие чего ноете по поводу этих продуктов сказано санкции значит  санкции, хватить ныть уже - прорвемся, не нужно нам ихнего говна.;11;;;П3;3
1988;40615;230571;36798492;230556;25106701;11.08.2015 11:55;[id308602733|Il], наркоманам раздают на улицах,ага;0;;;Ц3;3
1989;40616;230572;308602733;230556;25106701;11.08.2015 11:55;[id36798492|Артём], нет, продают;0;;;Б3;4
