;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;;
10485;68101;194162;70236500;194161;25106701;07.05.2015 2:45;Лол, мда, хех, ну пасиб.;8;;;Ц2;0
10486;68102;194163;73272620;194161;25106701;07.05.2015 2:47;&gt : Они не хотели завоевать Россию, а спасти ее<br>смешно;10;;;Ц2;0
10487;68103;194164;12663687;194161;25106701;07.05.2015 2:47;Ага, спасли уже. Все помнят 90-е. Не надо уже. Сами справимся.;17;;;Ц2;0
10488;68104;194165;178113576;194161;25106701;07.05.2015 2:47;Оказывается, они нас хотели спасти! Благодетели!;12;;;Ц2;0
10489;68105;194166;1017260;194161;25106701;07.05.2015 2:48;ХАХАХАХАХАХАХАХАХАХАХ;5;;;Ц2;0
10490;68106;194167;186991214;194161;25106701;07.05.2015 2:49;вот интересно, они сами в это верят?;4;;;Ж2;0
10491;68107;194168;272198452;194161;25106701;07.05.2015 2:49;Оооо, спасатели!! Дайте нам денег раз помсь хотите ....;0;;;Ц2, Р2;1
10492;68108;194169;245026211;194161;25106701;07.05.2015 2:50;То , как они ,хотели спасти, как раз и называется завоевать??;4;;;Т4;0
10493;68109;194170;177297910;194161;25106701;07.05.2015 2:51;Не надо нас спасать от нашей же истории.;2;;;П4;0
10494;68110;194171;206499451;194161;25106701;07.05.2015 2:51;Миллиарды? В таком случае где, хотя-бы, мой миллиончик зеленых выделенный на моё спасение?;4;;;Ж4;1
10495;68111;194172;8055117;194161;25106701;07.05.2015 2:53;Ну без этих денег, было б совсем плохо.;0;;;ш2;0
10496;68112;194173;8114069;194161;25106701;07.05.2015 2:53;что за чушь....спасти?!.....развалить они хотели и порезать на зоны влияния. со своей долбанной демократией и  добром ,которое они несут,надо другим странам спасаться и прекратить зад им лизать,может мозги и заработают....а то все очкуют что-либо возразить этим штатам...один хрен - МЫ ПРОРВЕМСЯ!;2;;;л4,о1;1
10497;68113;194174;51142271;194161;25106701;07.05.2015 2:55;Простите, мы неисправимы http://vk.com/photo-25106701_364381066;10;;; - ;1
10498;68114;194175;255675073;194161;25106701;07.05.2015 2:59;Вот от кого  наши  отбросы так врать научились.;3;;;Л4, Т2;2
10499;68115;194176;82697016;194161;25106701;07.05.2015 3:01;Дали миллиард, получили-вывезли-украли 100, американская помощь в действии.;3;;;т4;1
10500;68116;194177;265833614;194161;25106701;07.05.2015 3:07;Бред полнейшей;3;;;Н2;0
10501;68117;194178;284065102;194161;25106701;07.05.2015 3:09;Действительно, через агентов влияния поставить страну в зависимое положение, вывозить отсюда все необходимое, завозить сюда пидерастию, идеи радикальных религиозных экстримистов и идеи национализма, обплевать всю историю страны, окружить ее военными базами - что это, если не спасение... <br>Только вот в гробу я видал таких спасителей!;7;;;Ж4, Т4;1
10502;68118;194179;211194921;194161;25106701;07.05.2015 3:15;http://vk.com/photo-25106701_364381368;6;;; - ; - 
10503;68119;194180;2022305;194161;25106701;07.05.2015 3:15;Уроды лживые;4;;;Л2 ;1
10504;68120;194181;211194921;194161;25106701;07.05.2015 3:17;мы то прошли через все это и видим что к чему, но статья то не для нас написана...;2;;;Ж4;2
10505;68121;194184;1954875;194161;25106701;07.05.2015 3:36;Чечней спасали. Грузией, Украиной. Вот теперь нефтью, санкциями... добрые парни.<br>Ливию и Ирак спасли уже. А вот Сирию не получилось спасти. Бедная, несчастная Сирия.;10;;;Ц2;2
10506;68122;194185;136637968;194161;25106701;07.05.2015 3:41;нее, ну это уж слишком. я конечно все понимаю, но этого понять не могу;0;;;Ч2;1
10507;68123;194186;16034596;194161;25106701;07.05.2015 3:42;На Украине вон тоже спасали все 20 лет после распада Советского Союза. Но-таки спасли! На самом деле, они просто пытались купить лояльность:  Мы в вас вложили столько бабла, хули, вы такие неблагодарные? .;2;;;Ц4, И4;2
10508;68124;194187;183270373;194161;25106701;07.05.2015 4:05;Че за бред я сейчас прочитал;3;;;ч2;0
10509;68125;194188;3024891;194161;25106701;07.05.2015 4:17;Так ... очередная статья ... и тут нету ни одного недовольного ? может какие проблемы с банковскими переводами ? никто не в курсе ?;2;;;Ж3, Н3;2
10510;68126;194194;7461421;194161;25106701;07.05.2015 5:13; Чудовищного наследия коммунизма  ??<br>Сами сделали из нашей страны монстра и сами ее боятся теперь... Упыри);2;;;Ц2, Л2;2
10511;68127;194196;73638241;194161;25106701;07.05.2015 5:59;Себя спасите;0;;;Р2;2
10512;68128;194197;141229365;194161;25106701;07.05.2015 6:10;Ниверювывсеврети либерасты!!!!!1111;0;;;Л2 ;1
10513;68129;194198;176081084;194161;25106701;07.05.2015 6:13;Чушь. Эти их  демократически-капиталистические спасения  (России, массе др. стран), хорошо описаны в  исповедь экономического убийцы .;0;;;Щ2;1
10514;68130;194199;58836044;194161;25106701;07.05.2015 6:15;Мрази! Пусть своих детей спасают от своих идей. Порок и тунеядство, обычные трутни. Бьються за мировое господство, но потомство выродилось, кому достанется корона?;1;;;Л2, Ж4;2
10515;68131;194208;157194631;194161;25106701;07.05.2015 7:12;http://vk.com/doc157194631_337598393;2;;; - ; - 
10516;68132;194210;223525746;194161;25106701;07.05.2015 7:19;Спасти, чтобы после и прибрать, во клоуны ??;0;;;Н2;1
10517;68133;194211;13014907;194161;25106701;07.05.2015 7:21;пожалел волк кобылу - оставил хвост да гриву;2;;;Ц2;1
10518;68134;194213;27235412;194161;25106701;07.05.2015 7:39;какая еще демократия и экономика, нам нужен вождь и водка;0;;;ш1;1
10519;68135;194214;278315067;194161;25106701;07.05.2015 7:40;О как теперь называют попытку развалить Россию,помощью по преодолению ))Да мы воссоздадим еще ИМПЕРИЮ,дай срок,а СССР это наше великое прошлое и точка.;1;;;Ц2, Ж4;1
10520;68136;194215;276914347;194161;25106701;07.05.2015 7:40;Чудовищное наследие это США -Империя Зла Ненависти и войн. http://vk.com/photo-25106701_364384589;0;;;ч2;2
10521;68137;194219;55380421;194161;25106701;07.05.2015 7:47;[id3024891|Александррр], они все в школу собираются.Им некогда.;0;;;В3, Ц3;3
10522;68138;194226;172651413;194161;25106701;07.05.2015 8:46;[id278315067|Пьяный], вы же пьяный, какая ещё империя, Ваня?;0;;;Ц3;3
10523;68139;194228;278315067;194161;25106701;07.05.2015 8:49;[id172651413|Дима], ИМПЕРИЯ разума и процветания,духовного величия Державы подкреплённой экономическим крепким фундаментом ,наукой и так далее.Именно так и никак иначе.;0;;;Б3, Х4;3
10524;68140;194229;205438176;194161;25106701;07.05.2015 8:50;И газ на Западе покупали из жалости тоже;0;;;Ц2;3
10525;68141;194231;172651413;194161;25106701;07.05.2015 8:52;[id278315067|Пьяный], а остальные народы будут в ней существовать в лучшем случае на правах младших братьев. Проходили уже.;0;;;И3;3
10526;68142;194234;27602893;194161;25106701;07.05.2015 9:08;?? ?? ?? ??;0;;;А3;3
10527;68143;194235;278315067;194161;25106701;07.05.2015 9:14;[id172651413|Дима], а какие остальные?;0;;;А3;3
10528;68144;194237;37310069;194161;25106701;07.05.2015 9:23;Это наверное когда они террористов в Афганистане и Чечне содержали. Дерьмократы.;0;;;Н2;3
