;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;;
9660;56326;210062;82853210;210057;25106701;10.06.2015 19:37;Про Вануту бы не забыть...;0;;;ц4;2
9661;56327;210063;252652514;210057;25106701;10.06.2015 19:40;[id82853210|Сергей], лучше про Украину свою родную не забудь!<br>Дефолт не за горами!;1;;;м3;3
9662;56328;210064;82853210;210057;25106701;10.06.2015 19:41;[id252652514|Алан], тебе козолюб легче...Какой в твоих горах дефолт ??? Там и экономики то пока нет. Конец 15-го века,начало 16-го...;0;;;Л3, Н3;3
9663;56329;210065;50197051;210057;25106701;10.06.2015 19:42; Искандеры ,  С-400 ,  Бастион , группировка военных кораблей РФ и  Армата  в Греции..)) а может быть еще построить новейшую РЛС на территории Греции?...думаю такие мысли посещали бы меня на месте Путина..));1;;;Ж4;1
9664;56330;210068;252652514;210057;25106701;10.06.2015 19:48;[id82853210|Сергей], скажи ты по рождению идиот , или это общая благоприобретённая  черта всех укрокретинов ? http://vk.com/wall82853210_6267;0;;;ц4;4
9665;56331;210069;50197051;210057;25106701;10.06.2015 19:48;[id82853210|Сергей], ну да, ну да...только в Кисловодске средняя з/п выше чем даже в Киеве..))...не говоря уже о паническом страхе ВСУ перед бойцами  Востока ..)))...;3;;;Ц3;4
9666;56332;210070;55076695;210057;25106701;10.06.2015 19:49;[id82853210|Сергей], спасибо помним любим скорбим;1;;;ш4;3
9667;56333;210071;82853210;210057;25106701;10.06.2015 19:50;[id252652514|Алан], разовьешься века до 19-го,погворим.А пока завивайся,читай Великую Кавказкую литературу...;0;;;Н3;4
9668;56334;210072;82853210;210057;25106701;10.06.2015 19:50;[id50197051|Андрей], Тимченко порадуйте.Я из РФ никуда не выезжал.;0;;;Е1;4
9669;56335;210074;50197051;210057;25106701;10.06.2015 19:51;[id82853210|Сергей], а следовало бы!!! Чего же ты в АТО не поедешь, Украину свою драгоценную защищать?..));1;;;а3,с3;4
9670;56336;210075;252652514;210057;25106701;10.06.2015 19:52;[id82853210|Сергей], тебе дурню, в Google Maps надо показать город Кисловодск?<br>Маленькая деталь , в маленьком провинциальном Кисловодске уже три оператора предлагают услуги мобильного  4G интернета , в то время как в Киеве только только 3G появился .<br>И такой ушлёпок как ты ещё про  Горы  что-то тут верещит,вот же убогий!??????;2;;;Н3, Л3;4
9671;56337;210076;82853210;210057;25106701;10.06.2015 19:52;[id50197051|Андрей], Украина по касательной.Я так же бы считал,если вова напал к примеру на Узбеков.;0;;;Ж3;4
9672;56338;210077;252652514;210057;25106701;10.06.2015 19:52;[id82853210|Сергей], дебил  - ВАНУАТУ !!!!!!!!!!!!!!!!!??????????????????;0;;;Л3;4
9673;56339;210078;82853210;210057;25106701;10.06.2015 19:53;[id252652514|Алан], тебе виднее.Твоя родня...;0;;;Н3;4
9674;56340;210079;50197051;210057;25106701;10.06.2015 19:53;[id82853210|Сергей], тебе придется свыкнуться с мыслью о том, что Украине грядет пинцет!..));1;;;М3;4
9675;56341;210080;82853210;210057;25106701;10.06.2015 19:54;[id252652514|Алан], а ты то паразит,к инету то причем ? Нахлебник и бесплатное приложение. Объедаешь только Рязань и Казань,овцелюб...;0;;;Н3;4
9676;56342;210082;82853210;210057;25106701;10.06.2015 19:55;[id50197051|Андрей], см. выше.А свой пинцет не видишь что ли ? Его давно и без бинокля видать...;0;;;Ф3;4
9677;56343;210083;82853210;210057;25106701;10.06.2015 19:56;[id50197051|Андрей], такую задницу из страны,только Великий человек способен сделать !!!;0;;;Ж3;3
9678;56344;210084;252652514;210057;25106701;10.06.2015 19:57;[id82853210|Сергей], паразит и лжец это ты тут, убогий вышиватный тролль , с упорством барана доказывающий что он живёт в России.<br>При этом ничего совершенно не знающий о современной России.<br>До чего же ты убогий , слов нет !??;0;;;Щ3, Л3;4
9679;56345;210085;82853210;210057;25106701;10.06.2015 19:58;[id252652514|Алан], усрись ,овцелюб Средневековый.Слезай с Русской шеи.Пристроился,мля...;0;;;Л3;4
9680;56346;210086;252652514;210057;25106701;10.06.2015 19:59;[id82853210|Сергей], да да , заведи свою жовто-блакытную тролльскую шарманку , как плохо в России и какой плохой Путин!??????;0;;;Щ3 ;4
