;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;ИНТЕНТ;
2598;20050;255440;259154203;255438;25106701;27.10.2015 18:32;нах эту лабориатку печатаете;13;;;Т4;3
2599;20051;255441;4535752;255438;25106701;27.10.2015 18:32;нах ты этот высер оставил?;2;;;Т3;4
2600;20052;255442;212553600;255438;25106701;27.10.2015 18:32;http://vk.com/photo-25106701_384637012;3;;;;
2601;20053;255443;7589512;255438;25106701;27.10.2015 18:32;по мнению этой кликуши все должны испытывать всякие фобии и трястись от страха постоянно;6;;;Т2;3
2602;20054;255445;4535752;255438;25106701;27.10.2015 18:33;боты, айда в комменты тупые высеры оставлять;0;;;С3;4
2603;20055;255446;223034241;255438;25106701;27.10.2015 18:33;Если честно, ещё ни разу не встертил человека, который бы хоть слово сказал о России, как о Империи, но очень хочется всё же уже найти того, кого журналисты так легко находят;17;;;Н4;4
2604;20056;255447;324907463;255438;25106701;27.10.2015 18:33;Пошли они к черту ! Россия самая лучшая страна в мире !;9;;;Ч4,О4;4
2605;20057;255449;1017260;255438;25106701;27.10.2015 18:33;ей видимо больше нравится быть колонией, а не империей;8;;;Л3;4
2606;20058;255450;206599206;255438;25106701;27.10.2015 18:34; Когда многие полагали, что Россия находится на пути к демократии, Светлана Алексиевич тоже хотела в это верить. После агрессии на Украине и в Сирии...   - Дальше можно не читать, ибо такое могут сказать только недоумки.;9;;;П4,И4;4
2607;20059;255451;7589512;255438;25106701;27.10.2015 18:35;[id223034241|Александр], я скажу, чтобы легче было искать. Россия - это типа Империя. всем боятся!));0;;;Ц4;4
2608;20060;255452;212553600;255438;25106701;27.10.2015 18:35;Неполживость 80lvl?? http://vk.com/photo-25106701_384637033;1;;;А3;4
2609;20061;255453;4535752;255438;25106701;27.10.2015 18:35;Всегда боялся недоумков;0;;;Н3;4
2610;20062;255454;154894807;255438;25106701;27.10.2015 18:35;ЦРУ достает из архивов запылившиеся методы выращивания диссидентов...;4;;;Щ4;4
2611;20063;255457;297695196;255438;25106701;27.10.2015 18:36;Кто это мы?;0;;;А3;4
2612;20064;255458;202914766;255438;25106701;27.10.2015 18:36;Народ поддерживает не путина а телевизор. Если по тому же телевизору сейчас начнут ругать гэбэшника, через 3 месяца станут люто его ненавидеть. Маховик пропаганды на полную катушку работает. Даже на этой подписке, в каждых комментах одни и те же наемные  сторонники путина .;6;;;Щ4;4
2613;20065;255459;970398;255438;25106701;27.10.2015 18:36;Надеюсь они не считают народ наивными дурачками, люди прекрасно понимают что от нас хотят наши друзья и партнеры;1;;;Щ4;4
2614;20066;255460;243604915;255438;25106701;27.10.2015 18:36;очередной тупой бред !!!!;0;;;Ч2;3
2615;20067;255461;1548967;255438;25106701;27.10.2015 18:36;и за это ей дали Нобелевскую премию? Теперь я не беспокоюсь по поводу того, что победители матчей по Dota получают больше авторов подобных высеров.;1;;;Н4;4
2616;20068;255462;324907463;255438;25106701;27.10.2015 18:36;[id223034241|Александр], они говорят о империях хотя сами живут в королевстве и США что Европу и не только её сделал сателлитом . По мне они боятся того что им могут дать отпор во всех смыслах и не только физическом .;1;;;И4;4
2617;20069;255465;8725350;255438;25106701;27.10.2015 18:38;[id1548967|Александр], достаточно быть врагом России- и вуаля, нобелевка!;4;;;И4;4
2618;20070;255466;7589512;255438;25106701;27.10.2015 18:38;на самом деле тут довольно тупой, но эффективный ход - вот была какая то кликуша, что то там писала про страшную Россию, всем было плевать. Теперь ей дали Нобеля - вот можно продвигать ее мнение, как нечто значимое - типа Нобеля же дали. внемлите авторитету. Старина Нобель в гробу уже извертелся наверное, учредил премию за Литературу, а раздают бабло за какие то пасквили на злобу дня.;11;;;И4;4
2619;20071;255467;8725350;255438;25106701;27.10.2015 18:39;Если кто не видел https://scontent-frt3-1.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/12096579_565175593636261_1822111003116571121_n.jpg?oh=45c6349fd38ac91033cfbbd0235b979b&amp : oe=56BB32C0;3;;;;
2620;20072;255468;1548967;255438;25106701;27.10.2015 18:39;[id8725350|Александр], не врагом это не так. А вот с пламенем в груди и блеском в глазах порочить нынешнюю власть (чужую) - это да, путь к Нобелевке.;0;;;И4;4
2621;20073;255469;22229939;255438;25106701;27.10.2015 18:39;[id202914766|Andrzej], будьте любезны обосновать насчет наемных сторонников. Клевета это серьезное дело. Не докажете - сами в дураках будете. Может вы тут наемник из ЦРУ, засланный казачок. Сказать можно многое. Жду доказательств.;1;;;Т3;4
2622;20074;255470;263187009;255438;25106701;27.10.2015 18:40;http://vk.com/photo-25106701_384637534 http://vk.com/photo-25106701_384637535;2;;;;
2623;20075;255471;272804065;255438;25106701;27.10.2015 18:40;Какой нах  империей ?! О чем эти долбаебы вообще говорят?!;0;;;Ф2,Л2;3
2624;20076;255472;212553600;255438;25106701;27.10.2015 18:42;[id202914766|Andrzej], мы убьём тебя. Ты слишком много знал...;0;;;М3;4
2625;20077;255473;22229939;255438;25106701;27.10.2015 18:43;Тетке надо сделать фото с Лидией Меджидовной Ахеджаковой. Та тоже слегка крезанулась на старости лет, прости господи.;3;;;П4;4
2626;20078;255474;202914766;255438;25106701;27.10.2015 18:43;[id22229939|Виктор], Одни и те же персонажи, с одними и теми же камментами, и приемами как из методичек нашистов образца начала 2010-го года. Включая тебя, и вот этого твоего дружка https://vk.com/id252652514, который, кажется, вообще не работает а только мириадами строчит под каждым постом (но мы-то понимаем, что это и есть его работа). А где бы записаться в наемники ЦРУ? Давно уже хотелось бы монетизировать свою работу на Госдеп, а то все за идею, да за идею, вся вата уже смеется, у вас же там какие расценки ,15 рэ за пост вроде?;1;;;И4;4
2627;20079;255475;8725350;255438;25106701;27.10.2015 18:44;[id1548967|Александр], нет, в идеале надо опорочивать не только власть, а вообще все русское. Там это любят, из примеров можно вспомнить недавнего Звягинцева. Ну а в целом это именно враги.;5;;;И4;4
2628;20080;255476;308499;255438;25106701;27.10.2015 18:45;Хах,нет слов,просто смешно??????;0;;;Ш4;4
2629;20081;255477;22229939;255438;25106701;27.10.2015 18:46;[id202914766|Andrzej], это не доказательства, это детский лепет. И рассыпаться твои доводы могут в пух и прах потому что я могу начать в следующем посту непредсказуемо не хвалить Путина а публиковать комментарии с западных форумов. Клеветник ты дядя. Есть еще че сказать в свое оправдание ?? Или сразу согласишься.;0;;;Т3;4
2630;20082;255478;165207531;255438;25106701;27.10.2015 18:46;http://vk.com/audio2000350264_409021477;1;;;;
2631;20083;255479;15679050;255438;25106701;27.10.2015 18:49;Особенно понравилось как президент Порошенко борется с алигархами!! А сам то он кто?!? Из рабочих???????;1;;;В4,А3;4
2632;20084;255481;212553600;255438;25106701;27.10.2015 18:50;[id7589512|Максим], а ещё раньше она писала про Феликса Эдмундовича вот такие строки — И все вещи: письменный прибор из рабочего кабинета Феликса Эдмундовича, его телефон, книги, фотографии, письма — вдруг обрели для меня глубокий человеческий смысл. Появилось такое чувство, что тот, о чьей изумительной жизни они свидетельствуют, рядом, и слышно живое, теплое дыхание его… Ловлю себя на мысли, что мне все время хочется цитировать самого Дзержинского. Его дневники. Его письма. И делаю я это не из желания каким-либо образом облегчить свою журналистскую задачу, а из-за влюбленности в его личность, в слово, им сказанное, в мысли, им прочувствованные. Я знала: Дзержинский очень любил детей… Тысячи беспризорников обязаны ему новой жизнью… Когда у меня вырастет сын, мы обязательно приедем на эту землю вместе, чтобы поклониться неумирающему духу того, чье имя — Феликс Дзержинский — «меч и пламя» пролетарской революции.<br><br>ЗАНАВЕС.;2;;;Ж4;4
2633;20085;255482;202914766;255438;25106701;27.10.2015 18:51;[id22229939|Виктор], Конечно. Не начнешь, ибо за это денежку не заплатят. А вообще ,есть у меня особенность, в толпе могу слету определить мусора/военного или иного носителя погон. Вот слету просто ,даже если в гражданке. Тут совокупность мельчайших факторов, походка, речь, прическа, выражение лица, одежда, обувь, жестикуляция, куча крошечных моментов, которые для привыкшего наблюдать и анализировать складываются в одну картину. Так же и в инетах, всегда вижу оплачиваемую вату, потому как не удосуживаются менять формулировки, словесные обороты, подходы, тематику и так далее. Бесплатных одноклеточных полны одноклассники, это там АБАМКА АБИЗЯНА ПАРВУ ЗА ПУТЕНА ГГГ, а в вк в основном либо школьники конца 90-х годов рождения, которым хорошо жилось при сталине, либо советские трудящиеся 7 классов образования, либо платные.;0;;;Ж4,Т4;4
2634;20086;255483;203998519;255438;25106701;27.10.2015 18:57;Лечитесь женщина!!!! Вам уже пора!!! ?????? (Сибирячка) Особенно, высказывание, что беженцы хотят вернуться в Донецк и воевать против русских, это что-то?????? В одном регионе люди бояться войны, а в другом нет!!!?????? Это круто!!! Так даже идиоты не мыслят.......Вы больше!!!! По себе судите, дамочка))))));1;;;Т3;4
2635;20087;255484;52227643;255438;25106701;27.10.2015 18:58;Кто нить читал хоть одно её произведение?Может в MP-3 слушали?Для интересующихся http://book-online.com.ua/search.php?search=%D1%86%D0%B8%D0%BD%D0%BA%D0%BE%D0%B2%D1%8B%D0%B5+%D0%BC%D0%B0%D0%BB%D1%8C%D1%87%D0%B8%D0%BA%D0%B8&amp : sp=1&amp : genre=all&amp : order=1&amp : ok_b=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8;0;;;Р3;4
2636;20088;255485;212553600;255438;25106701;27.10.2015 18:58;[id202914766|Andrzej], ты сам подписал себе смертный приговор. Мы уже поднимаемся к тебе по лестнице.;0;;;М3;4
2637;20089;255486;212553600;255438;25106701;27.10.2015 18:59;[id52227643|Борис], я читал. Вот это. ?? Мне понравилось. ??<br><br>И все вещи: письменный прибор из рабочего кабинета Феликса Эдмундовича, его телефон, книги, фотографии, письма — вдруг обрели для меня глубокий человеческий смысл. Появилось такое чувство, что тот, о чьей изумительной жизни они свидетельствуют, рядом, и слышно живое, теплое дыхание его… Ловлю себя на мысли, что мне все время хочется цитировать самого Дзержинского. Его дневники. Его письма. И делаю я это не из желания каким-либо образом облегчить свою журналистскую задачу, а из-за влюбленности в его личность, в слово, им сказанное, в мысли, им прочувствованные. Я знала: Дзержинский очень любил детей… Тысячи беспризорников обязаны ему новой жизнью… Когда у меня вырастет сын, мы обязательно приедем на эту землю вместе, чтобы поклониться неумирающему духу того, чье имя — Феликс Дзержинский — «меч и пламя» пролетарской революции.;1;;;В3,Ж4;4
2638;20090;255487;7589512;255438;25106701;27.10.2015 18:59;[id212553600|Дмитрий], ну человек при совке был в тренде, сейчас оседлал другой тренд);3;;;И4;4
2639;20091;255488;202914766;255438;25106701;27.10.2015 18:59;[id212553600|Дмитрий], паспортные данные скинь, хоть пропуск на тебя-нищееба выпишу, что бы охрана ссаными тряпками от подъезда не погнала.O;0;;;Ц3;4
2640;20092;255490;22229939;255438;25106701;27.10.2015 19:00;[id202914766|Andrzej], уже публиковал ранее неоднократно - ты не видел - твои проблемы. Ты мне напоминаешь вот эту тетеньку Светлану Алексиевич, героиню этой статьи. Она тоже ничего путного сообразить и родить не может, только талдычит про красных человечков и какие вокруг все рабы а она одна такая все видит и  Свободная . Ничего ты не доказал и не предоставил в подкрепление своих слов. И позор на твою голову за это. Что там в твою картину складывается я не знаю но в мою картину сложилось что ты обычный балабол, раз свои слова подкрепить не можешь, и цена тебе грош, поэтому иди в пень дружок. Тем более я в органах не работаю а когда тебе кажется - надо крестится. Тебе еще есть что сказать ??;4;;;Т3;4
2641;20093;255491;212553600;255438;25106701;27.10.2015 19:00;[id202914766|Andrzej], не бойся, мы тебя не больно убьём, чик! и всё. O;1;;;М3;4
2642;20094;255492;212553600;255438;25106701;27.10.2015 19:01;[id202914766|Andrzej], но мне нравится что ты чувствуешь себя всемогущим. O;1;;;Х3;4
2643;20095;255493;144837137;255438;25106701;27.10.2015 19:03;http://vk.com/photo-25106701_384640464;0;;;;
2644;20096;255494;7589512;255438;25106701;27.10.2015 19:04;[id15679050|Николай], сам он в шоколаде;0;;;Ш4;4
2645;20097;255495;14511549;255438;25106701;27.10.2015 19:04;Боян конечно, но: http://vk.com/photo14511549_385220404;7;;;Ш4;4
2646;20098;255497;212553600;255438;25106701;27.10.2015 19:07;[id14511549|Александр], все три нужной, правильной национальности. И всех в разное время ахеджакнуло. ??;1;;;А3;4
2647;20099;255498;267361595;255438;25106701;27.10.2015 19:07;Сильно не люблю Путина, но эта мадам конченая дура.;0;;;Е1,Л3;4
2648;20100;255500;42003678;255438;25106701;27.10.2015 19:10;[id267361595|Александр], в чём она не права ? Вроде бы её слова подтверждаются физически (то есть воплощены в реальность).;0;;;А3,Х2;3
2649;20101;255503;62222129;255438;25106701;27.10.2015 19:11;[id202914766|Andrzej], за пост 18,46 р., всё четко, официальное оформление, отпуск, соц.гарантии лично Путина, пиши в Кремль насчет работы.;0;;;Ц3;4
2650;20102;255505;252652514;255438;25106701;27.10.2015 19:12;Если бы Пастернак,Бродский и Солженицын знали кого к ним в кампанию великих русских писателей,присоединили,думаю они возможно вернули Нобелевскую премию(кроме Пастернака- он её и не получил) как полностью себя дискредитировавшую .<br>Увы , реалии современности таковы,что госпоже Алексиевич присуждают Нобелевскую премию по литературе не за книги,которые она написала почти 30 лет назад,а за оголтелую русофобскую риторику, которую она яростно демонстрирует, колеся по Европе.<br>Женщина,которая называет миллионы россиян быдлом,недолюдьми  достойна презрения и осуждения,ибо она ничем не лучше Ирмы Грёзе,ведьмы Бухенвальда, во многих своих интерьвью оправдывая геноцид   ватников  Донбасса карателями Киева.<br><br>Западные СМИ будут сполна использовать её в своей антироссийской пропаганде , не понимая, что госпожа Алексиевич заходит гораздо дальше, чем может себе позволить культурный человек....<br>А может и понимают....;9;;;Ж4,Т2;4
2651;20103;255506;202914766;255438;25106701;27.10.2015 19:12;[id62222129|Оксана], Нашли дурака за дерево работать. Как говорил дядя Кока из к/ф  Черная роза эмблема печали, красная роза эмблема любви ,  А денежки у нас есть, зеленые, настоящие! Но не 3 рубля .;0;;;И4;4
2652;20104;255507;14511549;255438;25106701;27.10.2015 19:17;[id202914766|Andrzej], по слухам кстати действительно 3 рубля пост. Конкуренция у них...;0;;;Щ3;4
