;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;ИНТЕНТ;
4699;39567;231900;3925131;231899;25106701;13.08.2015 3:43;?? ?? ?? ?? до слез, давно таких дешевых штампов не приходилось читать;25;;;Ч2;3
4700;39568;231901;55891735;231899;25106701;13.08.2015 3:45;таблет хочет в еблет;9;;;Л2;4
4701;39569;231902;101164380;231899;25106701;13.08.2015 3:46;плевать;0;;;Ф2,Л2;4
4702;39570;231903;140714863;231899;25106701;13.08.2015 3:49;Нас рать.;2;;;Ф2,Л2;4
4703;39571;231904;55484656;231899;25106701;13.08.2015 3:49;Пиздос агрессия зашкаливает;0;;;Л2,Т2;4
4704;39572;231905;32941618;231899;25106701;13.08.2015 3:50;Говнопост;0;;;Л3;4
4705;39573;231906;22229939;231899;25106701;13.08.2015 3:50;Украину вроде разменяли на Сирию и Иран ?? Скоро новые переговоры и градус накала в Донбассе растет - каждая сторона хочет получить выгоду. С горем пополам готовится закон о отдельном статусе Донбасса. Ну а так да, для публики и либерастов  Перед лицом агрессии России мы едины бла бла бла .. ;0;;;Щ4;4
4706;39574;231907;307079459;231899;25106701;13.08.2015 3:57;Не смогла осилить этот бред до конца... Европа в тени военного доминирован сша чего-то там, Земан метнулся к России потому что не удовлетворен, и прочая чепуха;1;;;Ч2;3
4707;39575;231909;154894807;231899;25106701;13.08.2015 4:06;цитируя ньюсмейкера:  б...., дебилы, б.. ;0;;;Н2;3
4708;39576;231910;10562488;231899;25106701;13.08.2015 4:08;http://vk.com/video10562488_171365280;0;;;;
4709;39577;231911;1723730;231899;25106701;13.08.2015 4:10;Великая блевотная статья! После такого бреда иносми все меньше читать хочется;2;;;Л2,Г2;3
4710;39578;231912;43283809;231899;25106701;13.08.2015 4:12;Российский аналитик Павел Фельгенгаузер очень скептически оценивает состояние армии. Тут можно ставить точку и опускать занавес ))) ??????;6;;;Н4;4
4711;39579;231913;182177164;231899;25106701;13.08.2015 4:19;Действительно, статья бредовая в оценках, за исключением пары моментов. Увы, похоже, они руководствуются этим бредом в своей политике. <br>Понятно, почему Лавров ругается: ему чаще прочих приходится общаться как с вменяемыми людьми с теми, кто живет в бреду. Нервы сдают.<br><br>Однако, вопрос в том, что делать России в таком окружении? Надежд на просветление у поциентов нет. Возможностей изолировать их от нормальных людей тоже нет.;2;;;П4,У4;4
4712;39580;231921;111550822;231899;25106701;13.08.2015 4:46;Сраная интеграция . Что это значит , интеграция ???  Стать вассалом Сша ??? Похоже это так;0;;;Л4,С4;4
