;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;интент;
9351;16885;259052;1017260;259050;25106701;06.11.2015 8:26;ого, огого!;0;;;А2;3
9352;16886;259053;146593445;259050;25106701;06.11.2015 8:27;Срален же детей на завтрак ел, вы чо;1;;;Ц2;3
9353;16887;259055;14452483;259050;25106701;06.11.2015 8:31;[id146593445|Александр], Сталин придёт за тобой и сожрет с потрохами.;6;;;Ц2;3
9354;16888;259056;3838856;259050;25106701;06.11.2015 8:32;Власти он хотел;0;;;П4;4
9355;16889;259057;1017260;259050;25106701;06.11.2015 8:35;[id3838856|Леонид], то то у него её не было совсем. Как ваш мозг рождает подобные дебильные тезисы?;5;;;Ч3;4
9356;16890;259058;41764449;259050;25106701;06.11.2015 8:37;Сталин строил Империю. И, по большому счету, он ее практически построил.;2;;;И4;4
9357;16891;259059;82697016;259050;25106701;06.11.2015 8:37;[id3838856|Леонид], во-первых, она у него была, во-вторых, если власть-самоцель, то столько существенного и значимого он бы не сделал.;2;;;П3;4
9358;16892;259060;98952660;259050;25106701;06.11.2015 8:37;В 1936 написал Конституцию , в 1932-33 из-за проводимой им политики от голода умерло миллионы человек и столько же было сослано на Север и Сибирь без гроша в кармане , а 1938 расстрелял пол-союза . Какие тут еще могут быть вопросы ??;4;;;Т4;4
9359;16893;259061;11519337;259050;25106701;06.11.2015 8:39;[id98952660|Юсиф], откуда такие цифры уважаемый?;4;;;Ч4;4
9360;16894;259062;82697016;259050;25106701;06.11.2015 8:39;[id41764449|Али], сказки. Только что разрушили Российскую империю, он в этом у активно участвовал. Принципы организации СССР резко отличаются от РИ, конституция написана в 1936 г, социальные гарантии у населения, которых в то время не было ни у кого в мире;0;;;Т4;4
9361;16895;259063;1017260;259050;25106701;06.11.2015 8:39;[id98952660|Юсиф], полсоюза, миллионы, лично убил, сослал просто так. Это серьёзно?;0;;;Т4,Б3;4
9362;16896;259064;192539396;259050;25106701;06.11.2015 8:39;Насчет репрессий, дело не ясное. По чьему указанию проводились репрессии. Но также не ясна история с отрешением Ленина от власти и принятия решений.;0;;;Ф4;4
9363;16897;259065;193444768;259050;25106701;06.11.2015 8:40;Сталин ещё многие годы будет будоражить, ведь он посмел сделать СССР сверхдержавой. И это после разрушительных Первой мировой и Гражданской войны;9;;;И4;4
9364;16898;259066;82697016;259050;25106701;06.11.2015 8:40;[id98952660|Юсиф], читаем Земскова и понимаем, что в лагерях сидело даже в самые суровые годы не более 1.2 % населения страны, из них 70% уголовники;5;;;И4;4
9365;16899;259067;192539396;259050;25106701;06.11.2015 8:40;Но строил он СССР на основании, положенном Лениным.;0;;;И4;4
9366;16900;259068;32781941;259050;25106701;06.11.2015 8:41;Хорошая статья .;0;;;Х2;3
9367;16901;259069;82697016;259050;25106701;06.11.2015 8:42;[id192539396|Александр], в том то и дело, что нет. Он отказался от идеи мировой революции, а строить государство-это совсем не то, что шашкой махать и на митингах выступать.;0;;;Ч4;4
9368;16902;259070;41764449;259050;25106701;06.11.2015 8:43;[id82697016|Александр], ну какие сказки? Во-первых, в 1917 году РИ далеко не представляла из себя идиллию (развалить устойчивое государство тоже нельзя). Во-вторых, после смерти Ленина Сталин явно:<br>а) получил в наследство полную разруху. В каком виде СССР был после ухода Сталина всем известно. Да даже достаточно сравнить с 40-м годом<br>б) отошел от чистой доктрины ленинизма и строил Империю, но под лозунгами и этикетками марксизма-ленинизма;1;;;Ж4;4
9369;16903;259071;82562722;259050;25106701;06.11.2015 8:43;[id98952660|Юсиф], по Сашке Исаевичу  историю учили? ??????;0;;;Н3;4
9370;16904;259072;3838856;259050;25106701;06.11.2015 8:44;[id1017260|Евгений], хейтерс года хейт.  Оруэлла читал дружище?  Или Только коменты в вк читаешь?;0;;;Н3;4
9371;16905;259073;1017260;259050;25106701;06.11.2015 8:44;[id192539396|Александр], что не ясно с отрешением Ленина? Что именно?;0;;;А3;4
9372;16906;259074;192539396;259050;25106701;06.11.2015 8:45;Складывавшиеся в те времена обстоятельства, вызывали необходимость жесткой, авторитарной гос.политики. Россия, а потом и союз советских республик--был единственным государством с новыми моделями устройства общества. Эти модели были уникальны. При всех издержках и перекосах. Но также и внешнее давление капитала, который потерял рынок, было очень значительным. Гитлера готовили для нас.;1;;;Ж4;4
9373;16907;259075;82697016;259050;25106701;06.11.2015 8:45;[id41764449|Али], термин Империя требует пояснений. В этой Империи национальные меньшинства имели больше прав, чем русские. СЭВ-это тоже весьма специфическое образование, когда СССР фактически кормит страны Восточной Европы на политическую лояльность. Весьма необычная империя, живущая себе в убыток;2;;;Ч4;4
9374;16908;259076;56358455;259050;25106701;06.11.2015 8:46;Статья - исключение, из общей говномассы поноса сознания.;2;;;Х2;3
9375;16909;259077;1017260;259050;25106701;06.11.2015 8:46;[id3838856|Леонид], Оруэлл писал об Англии за пределы которой не выезжал, так что аргумент совсем мимо. Именно об английском обществе и о том куда оно стремится писал Оруэлл, а как вы там увидели Сталина и СССР, только вам самому понятно и то вряд ли. Видимо побольше тебя читаю, подобную идиотию вроде  СТАЛИНУ НУЖНА БЫЛА ТОЛЬКО ВЛАСТЬ  рожать не могу.;2;;;Ж4;4
9376;16910;259078;98952660;259050;25106701;06.11.2015 8:47;[id1017260|Евгений], не станете же вы опровергать тот факт , что при нем от голода на Украине , Казахстане и на Кавказе от голода умерло несколько несколько миллионов человек ?? А сколько людских судеб он поломал ?? Репрессии , раскулачивание , ссылки , лагеря , сколько чеченцев он выслал со своих территорий в Среднюю Азию ?? Сколько полит.заключенных скончалось при строительстве Беломорканала?? Им бы вы что сказали бы??;1;;;Т4;4
9377;16911;259079;1017260;259050;25106701;06.11.2015 8:47;[id82697016|Александр], первая империя где метрополия кормила окраины, а не наоборотю;0;;;И4;4
9378;16912;259080;41764449;259050;25106701;06.11.2015 8:47;[id82697016|Александр], да, возможно у нас с Вами дьявол кроется в деталях интерпретации термина Империя. В данном случае я не претендую на ее классическое толкование. Однако, почитав ваши комментарии, мне показалось, что мы говорим более-менее об одном и том же;0;;;В3;4
9379;16913;259081;56358455;259050;25106701;06.11.2015 8:47;[id98952660|Юсиф], в двух строчках разложил всё по полкам, красаучиг. Вас вызывают в академию РАН, срочно, хотят вручить звание заслуженного академика и знатока истории и глубинных процессов происходящих в то время.;1;;;Х3,Ш3;4
9380;16914;259083;192539396;259050;25106701;06.11.2015 8:48;[id1017260|Евгений], это долгая история с географией. Спросим у Сталина и Ленина, что там у них произошло.;0;;;Ш4;4
9381;16915;259084;82562722;259050;25106701;06.11.2015 8:48;Судя по комментариям, только   тупые коммуняги  у нас рано встают, а либеральная общественность после 12 подключиться! <br>Где комментарии про сто миллионов триллионов расстреленых лично Сталиным? Где пол страны сидела, а пол охраняло, а воевали под загряд отрядами?;2;;;Ц3;4
9382;16916;259085;1017260;259050;25106701;06.11.2015 8:50;[id98952660|Юсиф], по-вашему голод был устроен специально, чтобы убивать казахов и украинцев? А почему о голоде в поволжье промолчали? Репрессии они есть в каждом государстве без исключения, в стране после гражданской войны - тем более. Раскулачивание чем по-вашему плохое? Какие именно полит. заключенные скончались при строительстве канала? Подкрепите пруфами, пожалуйста. И что значит в вашем понимании полит. заключенный? А знаете ли вы, что за усердную работу увеличивался паёк и уменьшался срок ссылки? Почему по-вашему выселяли чеченцев? Просто так? Вы видимо совсем не владеете предметом или же имеете сильно искаженное о нём представление.;5;;;Щ4,Н3;4
9383;16917;259086;192539396;259050;25106701;06.11.2015 8:50;Для либеров есть убойная аналитическая статья о Сталине. Их переклинит от этой статьи. И скосит и скривит.;1;;;М4,У4;4
9384;16918;259087;1017260;259050;25106701;06.11.2015 8:51;[id192539396|Александр], как связано отрешение Ленина от власти с географией? Вы меня заинтриговали.;0;;;А3;4
9385;16919;259088;192539396;259050;25106701;06.11.2015 8:51;Евгений, это оборот речи такой.;0;;;Ж3;4
9386;16920;259089;192539396;259050;25106701;06.11.2015 8:52;Это оборот речи из десятилетий прошлого.;0;;;Ч3;4
9387;16921;259090;82562722;259050;25106701;06.11.2015 8:54;[id98952660|Юсиф], страна строилась! Давай посчитай, сколько судеб сломалось, сколько жизней легло на построение других государств. Какие жертвами строилась Россия при ваньке 4 или петьке 1? Они тоже кровавая гыбня?<br><br>Это мало того,что лживая статистика которой апеллируют либеральные мозги, не понимают даже что в  лагерях  сидело на 1% населения страны больше, чем в США в тот же период времени. <br>;1;;;Ф4;4
9388;16922;259091;41764449;259050;25106701;06.11.2015 8:57;[id98952660|Юсиф], Вы бы еще заодно указали о причинах депортации <br>населения Чечено-Ингушской АССР. А то прям такое ощущение, что на основе методички все суждения - по верхам, без понимания основ и причин процессов.;1;;;Щ3;4
9389;16923;259093;160719927;259050;25106701;06.11.2015 9:00;[id193444768|Павел], еще и с человекам в космос очень сильно помог, основы заложены при Сталине!);2;;;Ц4;4
9390;16924;259095;3838856;259050;25106701;06.11.2015 9:03;[id1017260|Евгений], видимо невнимательно читаешь)  прости если я задел твои нежные чувства);0;;;Ч3,Д3;4
9391;16925;259096;26471854;259050;25106701;06.11.2015 9:04;[id82562722|Oleg], в России утро раньше наступает.  Европа спит еще.;0;;;Ж4;4
9392;16926;259098;82562722;259050;25106701;06.11.2015 9:11;[id181221141|Василий], в плане? Разве подготовка к войне началась не с 37? Или ты считаешь, что Сталин просто будильник не завел на начало войны?;1;;;И4;4
