;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;;ИНТЕНТ;
6606;69609;191970;269583392;191969;25106701;01.05.2015 15:39;Один раз а два месяца,варит борьщ..бедная учительница...;2;;;Д2;1
6607;69610;191971;12025189;191969;25106701;01.05.2015 15:42;Удивительно, за счет чего люди еще живы в расейской глубинке ? С такими доходами только умирать не обидно. #голоднаяроссия http://vk.com/photo-25106701_363760870;0;;;Д4;2
6608;69611;191972;269583392;191969;25106701;01.05.2015 15:42;Да конечно..журналистка...но сути не меняет,если она ещё в-добавок с  эхо мосКВА или  дождь ..;0;;;В2,Н2;3
6609;69612;191973;269583392;191969;25106701;01.05.2015 15:43;Мы фсе умрем от недоедания??!;2;;;У1,Ш2;4
6610;69613;191974;94818705;191969;25106701;01.05.2015 15:43;Беда-то какая!.. Борщик-то как вздорожал...<br>А не пожалеть ли всех нас, за то что мы все такие  разнесчастные ,  ограбленные  и  угнетённые  из-за  бестолкового путинского правительства ...<br>В сторону глупые сантименты. Напоминаю специально для тех, у кого короткая память! Все проблемы в нашей экономике сегодня ТОЛЬКО И ИСКЛЮЧИТЕЛЬНО по вине США, которые ввели против России санкции! Обама самолично хвастался перед конгрессом, как  он разорвал в клочья российскую экономику !<br>И если у кого-то короткая память, то это его проблема, а не проблема Путина или ещё кого! Запомните, граждане  угнетённые режимом  и  измученные ценомором  - США ждут от вас именно недовольства властью и протестных акций. Вы имеете на это право, но не забывайте, что в желании подешевле нарастить задницу - вы вредите России. Со всеми вытекающими обстоятельствами...;9;;;Т4;4
6611;69614;191975;133794775;191969;25106701;01.05.2015 15:44;а что обязательно собирать чё то ...? ПРОДУКТЫ В КРАСНОЯРСКЕ ПОДНЯЛИСЬ НА 40-45 %%%%%% .......... че эти продажные СТАТИСТЫ ПИШУТ ВСЁ Х... Я !!!!!!!!!!!!!!!!!!!!! ТО ЧТО ДОКЛАДЫВАЮТ ПО КОМАНДЕ  ФАС  ...  ФУ  пусть все твари х... сосуттттттт!!!!!!!!!!!!!!!!!!!!!!! они просто псы .....................;0;;;В2,Л4;4
6612;69615;191976;155672209;191969;25106701;01.05.2015 15:45;[id94818705|Дмитрий], да, давай сейчас все на США скидывать, типичный обыватель;3;;;Ф4;4
6613;69616;191977;94818705;191969;25106701;01.05.2015 15:45;[id133794775|Захар], потрудитесь почитать мой пост выше...;0;;;Р3;4
6614;69617;191978;94818705;191969;25106701;01.05.2015 15:46;[id155672209|Рауф], я не скидываю - я констатирую факты. А тупорылых, которые до этого мозгами не дойдут - будем учить и объяснять, на чью сторону они играют со своими феерическими соплями про выросшие цены...;0;;;Ф3,Л3;4
6615;69618;191979;45687424;191969;25106701;01.05.2015 15:46;угу,так оно и есть! голодные бунты по стране!;0;;;Ш2;4
