;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;Unnamed: 9;Интент;Контент
1226;3084;30755;163789605;30754;21337773;2015-09-30 16:19:57;Обаме понадобился опыт ковровых бомбардировок Грозного?;6;;;Т4;2.0
1227;3085;30756;325517876;30754;21337773;2015-09-30 16:21:29;Классно! Бум-бам;1;;;Х4;1.0
1228;3086;30757;37764512;30754;21337773;2015-09-30 16:21:43;[id163789605|Андрей],  ковровых бомбардировок Грозного ? Ты прикалываешься?;1;;;Ц3;4.0
1229;3087;30758;269398072;30754;21337773;2015-09-30 16:21:43;+;2;;;Х4;1.0
1230;3088;30759;227597880;30754;21337773;2015-09-30 16:25:16;????;0;;;Х4;1.0
1231;3089;30762;40188432;30754;21337773;2015-09-30 16:26:46;Андрей, ковровых? Ковровая бомбардировка осуществлялась за всю историю всего раз, вообще то;0;;;И4;4.0
1232;3090;30763;163789605;30754;21337773;2015-09-30 16:28:41;[id40188432|Андрей], главное что опыт есть...не кончилось бы опять как с Чечнёй, выплатой дани и строительством мечетей в Москве. Ведь мы Чечню победили или нет?;3;;;Ц3;4.0
1233;3091;30764;40188432;30754;21337773;2015-09-30 16:32:04;[id163789605|Андрей], что за вздор, что значит победили Чечню? Государство осуществляло урегулирование конст.порядка-это раз, устроняло тер-веские банды это два и ковровые бомбардировки осуществлялись только раз - США в бомбардировке Дрездена.;0;;;Ф3;4.0
1234;3092;30765;163789605;30754;21337773;2015-09-30 16:32:43;[id40188432|Андрей], о как ))) Смешно.;1;;;Б3;4.0
1235;3093;30767;40188432;30754;21337773;2015-09-30 16:34:00;[id163789605|Андрей], ну если нечего умного в голову не приходит то можешь хоть посмеятся;0;;;Р3;4.0
1236;3094;30768;163789605;30754;21337773;2015-09-30 16:40:12;[id40188432|Андрей], http://oletter.org/letter/1462;0;;;;
1237;3095;30770;233560915;30754;21337773;2015-09-30 16:42:16;Молодцы,отлично.;0;;;Х4;1.0
1238;3096;30771;259437456;30754;21337773;2015-09-30 16:53:05;отлично;0;;;Х4;1.0
1239;3097;30772;143348637;30754;21337773;2015-09-30 16:54:12;Я понимаю что Россия не будет участвовать в сухопутных операциях, но какие-то средства на на все это выделяются? Лучше бы пару дорог отремонтировали. Сдался нам этот ближний восток. А те 2000+ людей уехавших воевать на стороне ИГ, можно ликвидировать и на подъезде к Росии;0;;;Ч4;2.0
1240;3098;30774;190367508;30754;21337773;2015-09-30 17:00:16;[id163789605|Андрей], мы , как и чеченцы - признали свои ошибки друг перед другом! Нашли в себе силы избавиться от тупых амбиций. Мы нашли путь - как нам вместе жить мирно ! Только и всего !;0;;;Е1,О1;4.0
1241;3099;30777;37764512;30754;21337773;2015-09-30 17:01:32;[id190367508|Василий], чеченцы ничего не признали, а нам признавать нечего. Мирно они не жили, не живут и не будут - потому, что не хотят;0;;;Б3;4.0
1242;3100;30778;163789605;30754;21337773;2015-09-30 17:01:52;[id190367508|Василий], мирные чеченцы, мирно работающие в своей стране на её благо могут вызывать только уважение.;0;;;П4;4.0
1243;3101;30779;190367508;30754;21337773;2015-09-30 17:02:54;[id163789605|Андрей], домен - org !!! Ах - ха -ха ! Хочешь я за 20 минут там сделаю сайт ? На котором тебя 5000- свидетелей и коментаторов будут уличать в том что ты член сосёшь у белого дома ? Даже фотки и видео о тебе будет )));0;;;Н3;4.0
1244;3102;30780;163789605;30754;21337773;2015-09-30 17:03:21;[id190367508|Василий], зачем так грубо?;0;;;А3;4.0
1245;3103;30781;190367508;30754;21337773;2015-09-30 17:03:53;[id37764512|Денис], уверен ? или ты простое чепушило с мозгом курицы бройлера;0;;;Л3;4.0
1246;3104;30782;37764512;30754;21337773;2015-09-30 17:04:32;[id190367508|Василий], рот с мылом помой;0;;;Р3;4.0
1247;3105;30783;190367508;30754;21337773;2015-09-30 17:04:41;[id163789605|Андрей], не люблю когда на суперавторитетные источники ссылки кидают в подтверждене глупости собственной;0;;;Е1,Н3;4.0
1248;3106;30784;163789605;30754;21337773;2015-09-30 17:05:00;[id190367508|Василий], какой источник?;0;;;А3;4.0
1249;3107;30785;190367508;30754;21337773;2015-09-30 17:05:18;[id37764512|Денис], приходи, помоем его тебе. а сам чего ? боишься помыться что ли ?;0;;;Т3;4.0
1250;3108;30786;37764512;30754;21337773;2015-09-30 17:06:13;[id190367508|Василий], на другое мозгов не хватает?;0;;;Н3;4.0
1251;3109;30787;287057939;30754;21337773;2015-09-30 17:14:20;??;1;;;Х4;1.0
1252;3110;30829;190367508;30754;21337773;2015-10-01 02:33:44;[id37764512|Денис], я чего тебе мама или папа ? Доктор твой персональный , что ли ? Зачем ты у меня спрашиваешь на что хватает твоих мозгов ? Откуда мне знать ?;0;;;Ф3;4.0
1253;3111;30884;37764512;30754;21337773;2015-10-01 21:18:10;[id190367508|Василий], нет, ты хам и не очень умелый тролль;0;;;Л3;4.0
1254;3112;30891;190367508;30754;21337773;2015-10-01 21:46:23;Непойму зачем ты свои  достоинства  мне приписал;0;;;Ф3;4.0
