;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;Unnamed: 9;Интент;Контент
697;8841;19849;9570262;19848;21337773;2015-03-15 20:02:15;про защиту ЛОХАМ рассказывайте http://vk.com/video148025093_171183892;6;;;Щ2;2.0
698;8842;19850;192726619;19848;21337773;2015-03-15 20:11:41;Наука рулит . Применимо к любой стране и любому народу .;1;;;П4;3.0
699;8843;19851;9570262;19848;21337773;2015-03-15 20:56:39;как и история http://vk.com/video272125133_170980281;5;;;Ц4;3.0
700;8844;19852;262607099;19848;21337773;2015-03-15 21:45:16;http://vk.com/video-69912191_171045734;4;;;О4;3.0
701;8845;19853;316245;19848;21337773;2015-03-15 21:55:02;Скорее бы Питер так защитили.;0;;;С3;4.0
702;8846;19854;206177829;19848;21337773;2015-03-15 22:02:04;[id316245|Алексей], от наводнения?;0;;;А3;4.0
703;8847;19855;316245;19848;21337773;2015-03-15 22:12:54;[id206177829|Алексей], от того же, от чего Крiм.;2;;;С3;4.0
704;8848;19856;1078193;19848;21337773;2015-03-15 22:16:32;От кого, Сергей Кожугетович, защищать? Что предотвращать? Нарисовали себе виртуального Яроша с его  Правым сектором  (на поверку - хрен процентов на выборах), создали эдакого эфемерного монстра - украинского бандерофашиста, сами же и испугались. А теперь рассказываете сказки о том, как было бы, если бы не бы. <br><br>Тьфу на вас.;7;;;Ч3;4.0
705;8849;19857;240965252;19848;21337773;2015-03-15 22:34:21;http://vk.com/photo-21337773_358436213;9;;;;
706;8850;19881;60508149;19848;21337773;2015-03-16 15:51:34;[id240965252|Любовь], http://vk.com/photo-21337773_358493280;4;;;;
707;8851;19886;52099969;19848;21337773;2015-03-16 15:57:38;[id240965252|Любовь], http://vk.com/photo52099969_357921901;1;;;Ш4;4.0
708;8852;19900;154405455;19848;21337773;2015-03-16 16:04:57;Всё про «Путин виноват», забодали... А что – неужели мнение самих жителей Крыма никому не интересно? Они – посмертные рабы Киева, что ли?;6;;;Б4,П3;3.0
709;8853;19906;123414145;19848;21337773;2015-03-16 16:08:29;[id154405455|Александр], А Россия мнение чеченского народа спрашивала;1;;;А4,С3;4.0
710;8854;19913;174554693;19848;21337773;2015-03-16 16:11:02;[id154405455|Александр], если Путин и виноват, то в том что Донбасс после референдума остался один на один с Киевом, хотя Путин и обнадёжил как бы юговосток на помощь...вот точно прокол по полной...обещал а не женился.;3;;;Т4;1.0
711;8855;19919;2933629;19848;21337773;2015-03-16 16:12:13;Русских защищают везде, и только в России они ни кому не нужны. http://vk.com/photo2933629_355591582;0;;;Ш4;4.0
712;8856;19927;52099969;19848;21337773;2015-03-16 16:15:05;http://vk.com/audio2000410403_351779269 http://vk.com/photo-21337773_358495542;0;;;;
713;8857;19934;93966652;19848;21337773;2015-03-16 16:16:51;[id192531594|Арий], http://vk.com/photo93966652_334381565 http://vk.com/photo93966652_341168775;3;;;Ш4;4.0
714;8858;19935;237379425;19848;21337773;2015-03-16 16:17:04;http://vk.com/photo-21337773_358495734;1;;;;
715;8859;19936;52099969;19848;21337773;2015-03-16 16:18:00;http://vk.com/photo-21337773_358495818;1;;;;
716;8860;19942;52099969;19848;21337773;2015-03-16 16:19:13;[id192531594|Арий], http://vk.com/photo52099969_355547242;2;;;;
717;8861;19947;272079209;19848;21337773;2015-03-16 16:20:04;[id1078193|Павел], не говорите о том, чего не знаете! Помимо  Правого сектора  есть ещё татары, у них до сих пор схроны с оружием находят. В фильме всё - правда...;0;;;Б3;4.0
718;8862;19949;52099969;19848;21337773;2015-03-16 16:20:43;[id192531594|Арий], http://vk.com/photo-21337773_358496167 http://vk.com/photo-21337773_358496168;1;;;;
719;8863;19954;52099969;19848;21337773;2015-03-16 16:22:00;[id192531594|Арий], http://vk.com/photo-21337773_358496353 http://vk.com/photo-21337773_358496354;1;;;;
