;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;Unnamed: 9;Интент;Контент
1341;2465;31915;82853210;31914;21337773;2015-10-28 19:52:15;Путенвилик!!!;0;;;Х4;4
1342;2466;31918;41767982;31914;21337773;2015-10-28 21:10:45;[id82853210|Сергей], значительно величественнее вас.;0;;;Ш3;4
1343;2467;31919;82853210;31914;21337773;2015-10-28 21:11:40;[id41767982|Сергей], еще не вечер...Завтра он многим бомжам предложит поменятся...;0;;;Т4;4
1344;2468;31920;41767982;31914;21337773;2015-10-28 21:12:00;[id82853210|Сергей], вы ждёте личного предложения от него?;0;;;Ц3;4
1345;2469;31921;82853210;31914;21337773;2015-10-28 21:12:29;[id41767982|Сергей], кто его спросит?;0;;;Ц4;4
1346;2470;31922;41767982;31914;21337773;2015-10-28 21:13:09;[id82853210|Сергей], в том и дело - никто. И он продолжит свой путь у власти в России. Вам назло.;0;;;Ф3,О4;4
1347;2471;31923;82853210;31914;21337773;2015-10-28 21:13:30;[id41767982|Сергей], не убедил...Три раза надо!!!;0;;;Б3;4
1348;2472;31924;41767982;31914;21337773;2015-10-28 21:13:54;[id82853210|Сергей], таблеточку не забыли принять?;0;;;Н3;4
1349;2473;31925;82853210;31914;21337773;2015-10-28 21:14:34;[id41767982|Сергей], нет,у меня не ваши проблемы...;0;;;Б3;4
1350;2474;31926;41767982;31914;21337773;2015-10-28 21:15:00;[id82853210|Сергей], мои проблемы - воспитание ребёнка. А каковы ваши?;0;;;Е1;4
1351;2475;31927;82853210;31914;21337773;2015-10-28 21:15:37;[id41767982|Сергей], у Гражданина их множество.Посмотрите в Конституции.;0;;;П3;4
1352;2476;31928;82853210;31914;21337773;2015-10-28 21:16:51;[id41767982|Сергей], смпеняемость Власти,к примеру.Как в Конституции,а не как в вовином узурпаторском новоделе.;0;;;Ц4;4
1353;2477;31929;41767982;31914;21337773;2015-10-28 21:42:59;[id82853210|Сергей], сменяемость власти - Ваша личная проблема? Вы путаете понятие личного и социального. Скажите, вы дурак?;0;;;Н3;4
1354;2478;31930;82853210;31914;21337773;2015-10-28 21:44:23;[id41767982|Сергей], не...Двух дураков для нашей беседы много. А я себя не отделяю от страны и общества,в отличии от тебя,амёба...;0;;;Ф3,Л3;4
1355;2479;31931;41767982;31914;21337773;2015-10-28 21:45:59;[id82853210|Сергей], мы уже на  ты ? А на брудершафт-то не пили.<br><br>Воистину, умный человек понимает, насколько он глуп. И лишь глупец себя считает самым умным. <br>Это к вопросу о двух дураках);0;;;Н3;4
1356;2480;31932;82853210;31914;21337773;2015-10-28 21:46:35;[id41767982|Сергей], ну ты,клоун,даешь!!! В Аншлаг метишь?;0;;;Н3;4
1357;2481;31933;41767982;31914;21337773;2015-10-28 21:47:04;[id82853210|Сергей], предоставляю это современной  оппозиции .;0;;;Ш4;4
1358;2482;31934;82853210;31914;21337773;2015-10-28 21:47:56;[id41767982|Сергей], да на здоровье,убогий! Кому это интересно? Собака лает,караван идет! (с);0;;;Л3,П3;4
1359;2483;31935;41767982;31914;21337773;2015-10-28 21:48:49;[id82853210|Сергей], 2% каравана.;0;;;Ш3;4
1360;2484;31936;82853210;31914;21337773;2015-10-28 21:49:23;[id41767982|Сергей], Р..S. Как глубоко в тебе Крепостное Право засело,раб генетический...;1;;;Н3;4
